gait,mode,mu,survived,walks,net_fwd,single,straight,mu_req_p95,torso_amp,torso_phi
A_f1.59,upright,1.0,1,0,-0.0104,0.991,0.412,0.449,0.0,0.0
A_f1.59,upright,0.7,1,1,0.0254,0.999,0.488,0.44,0.0,0.0
A_f1.59,upright,0.5,1,1,0.0809,0.975,0.48,0.4,0.0,0.0
A_f1.59,upright,0.4,1,0,-0.0591,0.785,0.49,0.4,0.0,0.0
A_f1.59,upright,0.3,1,0,-0.1007,0.552,0.516,0.3,0.0,0.0
A_f1.59,upright,0.25,1,0,-0.1034,0.467,0.517,0.25,0.0,0.0
A_f1.59,upright,0.2,1,0,-0.0969,0.398,0.53,0.2,0.0,0.0
A_f1.59,upright,0.15,1,0,-0.0887,0.363,0.53,0.15,0.0,0.0
A_f1.59,upright,0.1,1,0,-0.0586,0.295,0.517,0.1,0.0,0.0
A_f1.59,upright,0.06,1,0,-0.0009,0.237,0.336,0.06,0.0,0.0
A_f1.59,over_stance,1.0,1,1,0.1685,1.0,0.529,0.559,20.0,0.0
A_f1.59,over_stance,0.7,1,1,0.226,0.999,0.521,0.531,20.0,0.0
A_f1.59,over_stance,0.5,1,1,0.1224,0.842,0.517,0.5,20.0,0.0
A_f1.59,over_stance,0.4,1,1,0.1096,0.674,0.53,0.4,20.0,0.0
A_f1.59,over_stance,0.3,1,1,0.0838,0.539,0.525,0.3,20.0,0.0
A_f1.59,over_stance,0.25,1,1,0.0679,0.472,0.495,0.25,20.0,0.0
A_f1.59,over_stance,0.2,1,1,0.048,0.438,0.456,0.2,20.0,0.0
A_f1.59,over_stance,0.15,1,1,0.0481,0.436,0.474,0.15,20.0,0.0
A_f1.59,over_stance,0.1,1,1,0.0921,0.446,0.591,0.1,20.0,0.0
A_f1.59,over_stance,0.06,1,1,0.0697,0.412,0.485,0.06,20.0,0.0
A_f1.59,over_swing,1.0,0,0,0.0,0.0,nan,nan,20.0,180.0
A_f1.59,over_swing,0.7,0,0,0.0639,0.96,0.715,0.515,20.0,180.0
A_f1.59,over_swing,0.5,1,1,0.0298,0.883,0.409,0.392,20.0,180.0
A_f1.59,over_swing,0.4,1,0,-0.0281,0.831,0.37,0.387,20.0,180.0
A_f1.59,over_swing,0.3,1,0,-0.0429,0.801,0.117,0.3,20.0,180.0
A_f1.59,over_swing,0.25,1,0,-0.0866,0.688,0.399,0.25,20.0,180.0
A_f1.59,over_swing,0.2,1,0,-0.0793,0.641,0.518,0.2,20.0,180.0
A_f1.59,over_swing,0.15,1,0,-0.0692,0.575,0.532,0.15,20.0,180.0
A_f1.59,over_swing,0.1,1,0,-0.058,0.537,0.503,0.1,20.0,180.0
A_f1.59,over_swing,0.06,1,0,0.0043,0.698,0.068,0.06,20.0,180.0
B_f1.27,upright,1.0,1,0,0.0017,0.283,0.6,0.837,0.0,0.0
B_f1.27,upright,0.7,1,0,0.0015,0.311,0.611,0.637,0.0,0.0
B_f1.27,upright,0.5,1,0,0.0102,0.299,0.63,0.5,0.0,0.0
B_f1.27,upright,0.4,1,1,0.0273,0.299,0.578,0.4,0.0,0.0
B_f1.27,upright,0.3,1,1,0.021,0.312,0.579,0.3,0.0,0.0
B_f1.27,upright,0.25,1,0,0.0113,0.332,0.595,0.25,0.0,0.0
B_f1.27,upright,0.2,1,0,0.0007,0.328,0.524,0.2,0.0,0.0
B_f1.27,upright,0.15,1,0,-0.0056,0.302,0.51,0.15,0.0,0.0
B_f1.27,upright,0.1,1,0,-0.0136,0.234,0.367,0.1,0.0,0.0
B_f1.27,upright,0.06,1,0,-0.0008,0.163,0.045,0.06,0.0,0.0
B_f1.27,over_stance,1.0,1,1,0.2141,1.0,0.53,0.463,20.0,0.0
B_f1.27,over_stance,0.7,1,1,0.2149,1.0,0.549,0.469,20.0,0.0
B_f1.27,over_stance,0.5,1,0,-0.0016,0.778,0.017,0.5,20.0,0.0
B_f1.27,over_stance,0.4,1,0,-0.0407,0.747,0.243,0.4,20.0,0.0
B_f1.27,over_stance,0.3,1,0,-0.0372,0.738,0.257,0.3,20.0,0.0
B_f1.27,over_stance,0.25,1,0,-0.0325,0.708,0.266,0.25,20.0,0.0
B_f1.27,over_stance,0.2,1,1,0.12,0.59,0.587,0.2,20.0,0.0
B_f1.27,over_stance,0.15,1,1,0.0548,0.521,0.525,0.15,20.0,0.0
B_f1.27,over_stance,0.1,1,1,0.0523,0.428,0.395,0.1,20.0,0.0
B_f1.27,over_stance,0.06,1,1,0.0491,0.382,0.368,0.06,20.0,0.0
B_f1.27,over_swing,1.0,1,1,0.0366,0.774,0.352,0.838,20.0,180.0
B_f1.27,over_swing,0.7,1,1,0.0181,0.73,0.516,0.649,20.0,180.0
B_f1.27,over_swing,0.5,1,0,0.0077,0.767,0.51,0.5,20.0,180.0
B_f1.27,over_swing,0.4,1,1,0.0166,0.771,0.495,0.4,20.0,180.0
B_f1.27,over_swing,0.3,1,0,0.0063,0.768,0.091,0.3,20.0,180.0
B_f1.27,over_swing,0.25,1,0,0.0,0.715,0.017,0.25,20.0,180.0
B_f1.27,over_swing,0.2,1,0,0.0092,0.667,0.039,0.2,20.0,180.0
B_f1.27,over_swing,0.15,1,0,0.0033,0.593,0.022,0.15,20.0,180.0
B_f1.27,over_swing,0.1,1,0,-0.0022,0.444,0.015,0.1,20.0,180.0
B_f1.27,over_swing,0.06,1,0,-0.0021,0.377,0.014,0.06,20.0,180.0
