freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.8,260.0,125,20,50,0.1,0.1703,1.0
1.81,260.0,125,20,50,0.1,0.1693,1.0
1.79,260.0,125,20,50,0.1,0.1685,1.0
1.97,260.0,125,16,50,0.1,0.1671,1.0
1.94,260.0,125,16,50,0.1,0.1669,1.0
1.82,260.0,125,20,50,0.1,0.1661,1.0
1.94,260.0,125,20,50,0.1,0.1659,1.0
1.92,260.0,125,20,50,0.1,0.1658,1.0
1.95,260.0,125,16,50,0.1,0.1658,1.0
1.95,260.0,125,20,50,0.1,0.1655,1.0
1.96,260.0,125,20,50,0.1,0.1655,1.0
1.91,260.0,125,16,50,0.1,0.1654,1.0
1.92,270.0,125,20,50,0.1,0.1653,1.0
1.98,260.0,125,16,50,0.1,0.1653,1.0
1.92,260.0,125,16,50,0.1,0.1651,1.0
1.98,260.0,125,20,50,0.1,0.165,1.0
1.91,270.0,125,20,50,0.1,0.1649,1.0
1.97,260.0,125,20,50,0.1,0.1649,1.0
1.93,260.0,125,20,50,0.1,0.1648,1.0
1.78,260.0,125,20,50,0.1,0.1647,1.0
1.91,260.0,125,20,50,0.1,0.1647,1.0
1.89,270.0,125,20,50,0.1,0.1644,1.0
1.96,260.0,125,16,50,0.1,0.1644,1.0
1.96,270.0,125,20,50,0.1,0.1644,1.0
1.86,270.0,125,20,50,0.1,0.1642,1.0
1.83,270.0,125,20,50,0.1,0.164,1.0
1.93,270.0,125,20,50,0.1,0.1639,1.0
1.95,270.0,125,20,50,0.1,0.1639,1.0
1.84,270.0,125,20,50,0.1,0.1638,1.0
1.9,270.0,125,20,50,0.1,0.1638,1.0
1.97,270.0,125,20,50,0.1,0.1638,1.0
1.9,260.0,125,20,50,0.1,0.1637,1.0
1.87,270.0,125,20,50,0.1,0.1636,1.0
1.94,270.0,125,20,50,0.1,0.1636,1.0
1.81,270.0,125,20,50,0.1,0.1635,1.0
1.82,270.0,125,20,50,0.1,0.1635,1.0
1.85,270.0,125,20,50,0.1,0.1635,1.0
1.87,260.0,125,16,50,0.1,0.1634,1.0
1.89,260.0,125,20,50,0.1,0.1634,1.0
1.93,260.0,125,16,50,0.1,0.1634,1.0
1.88,270.0,125,20,50,0.1,0.1633,1.0
1.98,270.0,125,20,50,0.1,0.1631,1.0
1.83,260.0,125,20,50,0.1,0.163,1.0
1.89,260.0,125,16,50,0.1,0.1629,1.0
1.78,270.0,125,20,50,0.1,0.1627,1.0
1.79,270.0,125,20,50,0.1,0.1626,1.0
1.9,260.0,125,16,50,0.1,0.1626,1.0
1.8,270.0,125,20,50,0.1,0.1625,1.0
1.88,260.0,125,20,50,0.1,0.1624,1.0
1.88,260.0,125,16,50,0.1,0.1622,1.0
