freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.87,350.0,125,28,50,0.7,0.1819,0.8
1.72,330.0,85,28,20,0.7,0.1555,0.8
1.83,280.0,85,28,20,0.7,0.1552,0.8
1.75,250.0,105,28,30,0.7,0.154,0.933
1.74,320.0,85,28,20,0.7,0.1539,0.8
1.94,340.0,125,24,50,0.7,0.1539,0.8
1.74,250.0,105,28,30,0.7,0.1534,0.867
1.82,280.0,85,28,20,0.7,0.1528,0.867
1.67,320.0,85,28,10,0.7,0.1525,0.8
1.81,280.0,85,28,20,0.7,0.1523,0.933
1.73,250.0,105,28,30,0.7,0.1521,0.867
1.85,340.0,85,24,30,0.7,0.1519,0.867
1.78,250.0,105,28,30,0.7,0.1517,0.867
1.8,280.0,85,28,20,0.7,0.1517,0.933
1.72,300.0,85,28,20,0.7,0.1508,0.8
1.57,260.0,105,28,20,0.7,0.1507,0.867
1.69,250.0,105,28,30,0.7,0.1507,0.867
1.76,250.0,105,28,30,0.7,0.1501,0.933
1.73,320.0,85,28,20,0.7,0.1499,0.8
1.78,280.0,85,28,20,0.7,0.1497,0.8
1.7,250.0,105,28,30,0.7,0.1495,0.8
1.69,320.0,85,28,10,0.7,0.149,0.8
1.71,250.0,105,28,30,0.7,0.1487,0.8
1.72,250.0,105,28,30,0.7,0.1483,0.8
1.79,280.0,85,28,20,0.7,0.1482,0.933
1.66,250.0,105,28,30,0.7,0.1478,1.0
1.79,250.0,105,28,30,0.7,0.1478,0.933
1.83,340.0,85,24,30,0.7,0.1472,0.8
1.77,350.0,115,28,40,0.7,0.1471,0.8
1.61,260.0,105,28,30,0.7,0.1469,0.8
1.64,260.0,105,28,20,0.7,0.1452,0.8
1.91,340.0,85,24,30,0.7,0.1449,0.8
1.63,250.0,105,28,30,0.7,0.1448,0.867
1.65,250.0,105,28,30,0.7,0.1448,0.933
1.48,320.0,115,28,20,0.7,0.1445,0.8
1.86,340.0,85,24,30,0.7,0.1441,0.867
1.87,340.0,85,24,30,0.7,0.1438,0.933
1.6,260.0,105,28,30,0.7,0.1436,0.8
1.92,0.0,85,28,30,0.7,0.1433,0.8
1.66,260.0,105,28,20,0.7,0.1431,0.8
1.59,260.0,105,28,20,0.7,0.143,0.867
1.8,290.0,85,28,20,0.7,0.1429,0.8
1.89,340.0,85,24,30,0.7,0.1428,0.867
1.49,320.0,115,28,20,0.7,0.1426,0.8
1.72,310.0,85,24,10,0.7,0.1422,0.8
1.68,300.0,95,24,10,0.7,0.1419,0.867
1.84,270.0,85,28,20,0.7,0.1419,0.8
1.65,330.0,85,28,10,0.7,0.1418,0.867
1.88,340.0,85,24,30,0.7,0.1414,0.933
1.89,330.0,85,24,30,0.7,0.1409,0.867
