freq,hip_phi,leg_amp,hip_amp,hip_off,mu
1.8,260.0,125,20,50,0.1
1.81,260.0,125,20,50,0.1
1.79,260.0,125,20,50,0.1
1.97,260.0,125,16,50,0.1
1.94,260.0,125,16,50,0.1
1.82,260.0,125,20,50,0.1
1.94,260.0,125,20,50,0.1
1.92,260.0,125,20,50,0.1
1.95,260.0,125,16,50,0.1
1.95,260.0,125,20,50,0.1
1.96,260.0,125,20,50,0.1
1.91,260.0,125,16,50,0.1
1.92,270.0,125,20,50,0.1
1.98,260.0,125,16,50,0.1
1.92,260.0,125,16,50,0.1
1.98,260.0,125,20,50,0.1
1.91,270.0,125,20,50,0.1
1.97,260.0,125,20,50,0.1
1.93,260.0,125,20,50,0.1
1.78,260.0,125,20,50,0.1
1.91,260.0,125,20,50,0.1
1.89,270.0,125,20,50,0.1
1.96,260.0,125,16,50,0.1
1.96,270.0,125,20,50,0.1
1.86,270.0,125,20,50,0.1
1.83,270.0,125,20,50,0.1
1.93,270.0,125,20,50,0.1
1.95,270.0,125,20,50,0.1
1.84,270.0,125,20,50,0.1
1.9,270.0,125,20,50,0.1
1.97,270.0,125,20,50,0.1
1.9,260.0,125,20,50,0.1
1.87,270.0,125,20,50,0.1
1.94,270.0,125,20,50,0.1
1.81,270.0,125,20,50,0.1
1.82,270.0,125,20,50,0.1
1.85,270.0,125,20,50,0.1
1.87,260.0,125,16,50,0.1
1.89,260.0,125,20,50,0.1
1.93,260.0,125,16,50,0.1
1.88,270.0,125,20,50,0.1
1.98,270.0,125,20,50,0.1
1.83,260.0,125,20,50,0.1
1.89,260.0,125,16,50,0.1
1.78,270.0,125,20,50,0.1
1.79,270.0,125,20,50,0.1
1.9,260.0,125,16,50,0.1
1.8,270.0,125,20,50,0.1
1.88,260.0,125,20,50,0.1
1.88,260.0,125,16,50,0.1
1.8,260.0,125.0,20.0,50.0,0.1
1.81,260.0,125.0,20.0,50.0,0.1
1.79,260.0,125.0,20.0,50.0,0.1
1.97,260.0,125.0,16.0,50.0,0.1
1.99,260.0,125.0,16.0,50.0,0.1
1.94,260.0,125.0,16.0,50.0,0.1
2.0,260.0,125.0,16.0,50.0,0.1
1.82,260.0,125.0,20.0,50.0,0.1
1.94,260.0,125.0,20.0,50.0,0.1
1.92,260.0,125.0,20.0,50.0,0.1
1.95,260.0,125.0,16.0,50.0,0.1
2.0,260.0,125.0,20.0,50.0,0.1
1.95,260.0,125.0,20.0,50.0,0.1
1.96,260.0,125.0,20.0,50.0,0.1
1.91,260.0,125.0,16.0,50.0,0.1
1.92,270.0,125.0,20.0,50.0,0.1
1.98,260.0,125.0,16.0,50.0,0.1
1.92,260.0,125.0,16.0,50.0,0.1
1.98,260.0,125.0,20.0,50.0,0.1
1.91,270.0,125.0,20.0,50.0,0.1
1.99,280.0,115.0,28.0,30.0,0.3
1.96,280.0,115.0,28.0,30.0,0.3
1.98,340.0,115.0,28.0,20.0,0.3
1.92,280.0,115.0,28.0,20.0,0.3
1.86,340.0,125.0,28.0,20.0,0.3
1.85,340.0,125.0,28.0,20.0,0.3
1.83,340.0,125.0,28.0,20.0,0.3
1.98,280.0,115.0,28.0,30.0,0.3
1.93,280.0,115.0,28.0,30.0,0.3
1.86,330.0,115.0,28.0,20.0,0.3
1.94,280.0,115.0,28.0,30.0,0.3
1.89,280.0,115.0,28.0,30.0,0.3
1.94,340.0,115.0,28.0,20.0,0.3
1.92,280.0,115.0,28.0,30.0,0.3
1.98,280.0,115.0,28.0,20.0,0.3
1.87,280.0,115.0,28.0,20.0,0.3
1.85,280.0,115.0,28.0,30.0,0.3
1.75,340.0,125.0,28.0,20.0,0.3
1.94,280.0,115.0,28.0,20.0,0.3
1.84,280.0,115.0,28.0,20.0,0.3
1.95,0.0,125.0,28.0,20.0,0.5
1.93,0.0,125.0,28.0,20.0,0.5
1.97,0.0,125.0,28.0,20.0,0.5
1.89,0.0,125.0,28.0,20.0,0.5
1.99,350.0,125.0,28.0,10.0,0.5
1.97,10.0,125.0,28.0,20.0,0.5
1.99,0.0,125.0,28.0,20.0,0.5
1.96,340.0,125.0,28.0,10.0,0.5
1.96,10.0,125.0,28.0,20.0,0.5
1.91,0.0,125.0,28.0,20.0,0.5
1.98,0.0,115.0,28.0,20.0,0.5
1.99,10.0,125.0,28.0,20.0,0.5
1.99,0.0,115.0,28.0,20.0,0.5
2.0,0.0,115.0,28.0,20.0,0.5
1.87,0.0,125.0,28.0,20.0,0.5
1.98,300.0,125.0,28.0,10.0,0.5
1.99,30.0,125.0,28.0,30.0,0.5
2.0,0.0,125.0,28.0,20.0,0.5
1.92,10.0,125.0,28.0,20.0,0.5
1.96,300.0,125.0,28.0,10.0,0.5
1.94,260.0,125.0,28.0,10.0,0.7
2.0,260.0,125.0,28.0,10.0,0.7
1.99,250.0,125.0,28.0,10.0,0.7
1.86,260.0,115.0,28.0,10.0,0.7
1.98,250.0,125.0,28.0,10.0,0.7
1.93,250.0,125.0,28.0,10.0,0.7
1.92,260.0,125.0,28.0,20.0,0.7
1.9,330.0,125.0,28.0,50.0,0.7
1.94,260.0,125.0,24.0,20.0,0.7
1.96,260.0,125.0,24.0,10.0,0.7
1.93,330.0,125.0,28.0,50.0,0.7
1.97,250.0,125.0,28.0,10.0,0.7
1.96,250.0,125.0,24.0,10.0,0.7
1.97,260.0,115.0,28.0,10.0,0.7
1.98,260.0,125.0,24.0,10.0,0.7
1.99,340.0,115.0,28.0,50.0,0.7
1.97,340.0,115.0,28.0,50.0,0.7
1.79,260.0,125.0,24.0,20.0,0.7
1.99,340.0,125.0,28.0,50.0,0.7
2.0,340.0,125.0,28.0,50.0,0.7
