rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.97,330.0,115.0,28.0,10.0,0.1,0.0508,4.57226,0.3108,0.6171,0.498,0.0091,0.013,51,3.923,0.503,3.674,0.0,1,1
1,1.97,330.0,115.0,28.0,10.0,0.3,0.0157,0.36466,0.0787,0.6351,0.656,0.0338,0.0136,64,4.923,0.387,4.54,0.0,1,1
1,1.97,330.0,115.0,28.0,10.0,0.5,0.0984,0.26379,0.0198,0.7685,0.799,0.0396,0.0256,18,4.787,0.25,3.815,0.004,0,0
1,1.97,330.0,115.0,28.0,10.0,0.7,-0.0238,0.20428,0.0017,0.8959,0.881,0.0448,0.0435,40,4.213,0.149,3.222,0.009,0,0
2,1.92,330.0,105.0,28.0,10.0,0.1,0.0839,2.95568,0.4052,0.5317,0.426,0.0082,0.0136,51,3.923,0.504,3.22,0.0,1,1
2,1.92,330.0,105.0,28.0,10.0,0.3,0.2642,0.44131,0.1124,0.6453,0.653,0.0095,0.0086,80,6.154,0.508,3.702,0.0,1,1
2,1.92,330.0,105.0,28.0,10.0,0.5,0.2081,0.21849,0.0037,0.8157,0.8,0.0378,0.0228,60,4.615,0.479,3.78,0.0,1,1
2,1.92,330.0,105.0,28.0,10.0,0.7,0.0475,0.24502,0.0198,0.661,0.774,0.0326,0.0483,5,3.987,1.278,37.915,0.088,0,0
3,1.95,330.0,115.0,28.0,10.0,0.1,0.0512,4.27498,0.3126,0.6161,0.493,0.0091,0.0135,54,4.154,0.471,3.618,0.0,1,1
3,1.95,330.0,115.0,28.0,10.0,0.3,0.1124,0.35288,0.0734,0.656,0.671,0.0298,0.0154,63,4.846,0.467,4.518,0.0,1,1
3,1.95,330.0,115.0,28.0,10.0,0.5,-0.0491,0.31851,0.0176,0.7399,0.751,0.0327,0.0349,14,4.332,0.319,3.684,0.017,0,0
3,1.95,330.0,115.0,28.0,10.0,0.7,-0.0619,nan,0.007,0.6751,0.769,0.0244,0.0755,2,3.135,nan,5.036,0.047,0,0
4,1.88,330.0,115.0,28.0,10.0,0.1,0.0385,5.51511,0.3401,0.5807,0.471,0.01,0.0132,50,3.846,0.432,3.48,0.0,1,1
4,1.88,330.0,115.0,28.0,10.0,0.3,0.2552,0.38733,0.0858,0.6498,0.662,0.0237,0.0131,64,4.923,0.462,4.18,0.0,1,1
4,1.88,330.0,115.0,28.0,10.0,0.5,0.4016,0.49409,0.1092,0.5599,0.619,0.0066,0.0109,4,4.386,1.116,41.591,0.138,0,0
4,1.88,330.0,115.0,28.0,10.0,0.7,-0.0521,0.26361,0.0016,0.8821,0.915,0.0472,0.0586,9,3.799,0.251,4.522,0.017,0,0
5,1.92,340.0,105.0,28.0,10.0,0.1,-0.0205,2.35582,0.4382,0.5005,0.43,0.0053,0.0141,51,3.923,0.359,3.319,0.0,1,1
5,1.92,340.0,105.0,28.0,10.0,0.3,0.2686,0.41006,0.1087,0.6431,0.654,0.0145,0.0098,76,5.846,0.501,4.173,0.0,1,1
5,1.92,340.0,105.0,28.0,10.0,0.5,0.0146,0.32773,0.011,0.7897,0.791,0.0267,0.0271,12,5.115,0.05,3.788,0.026,0,0
5,1.92,340.0,105.0,28.0,10.0,0.7,0.033,0.32146,0.001,0.9533,0.958,0.0483,0.0514,43,3.842,0.358,2.99,0.006,0,0
6,1.89,330.0,115.0,28.0,10.0,0.1,0.0376,5.19332,0.3331,0.5913,0.482,0.0099,0.0137,52,4.0,0.395,3.505,0.0,1,1
6,1.89,330.0,115.0,28.0,10.0,0.3,0.3019,0.37686,0.0928,0.6361,0.652,0.0189,0.0139,72,5.538,0.492,4.186,0.0,1,1
6,1.89,330.0,115.0,28.0,10.0,0.5,0.0397,0.33714,0.016,0.7161,0.744,0.0368,0.0341,11,4.641,0.147,4.099,0.017,0,0
6,1.89,330.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
7,1.93,350.0,115.0,28.0,10.0,0.1,-0.0084,2.21308,0.3918,0.5494,0.491,0.0078,0.014,51,3.923,0.08,3.778,0.0,1,1
7,1.93,350.0,115.0,28.0,10.0,0.3,0.2823,0.4394,0.0776,0.665,0.678,0.0171,0.0086,69,5.308,0.479,4.343,0.0,1,1
7,1.93,350.0,115.0,28.0,10.0,0.5,-0.0232,0.48841,0.0,0.8836,0.882,0.0294,0.0332,61,4.692,0.321,3.225,0.0,1,1
7,1.93,350.0,115.0,28.0,10.0,0.7,-0.703,nan,0.0,0.2654,0.245,nan,0.0031,1,6.098,nan,9.49,0.215,0,0
8,1.85,320.0,115.0,28.0,10.0,0.1,0.0331,6.31971,0.4668,0.5028,0.416,0.0077,0.0138,49,3.769,0.507,3.233,0.0,1,1
8,1.85,320.0,115.0,28.0,10.0,0.3,0.2802,0.39002,0.1162,0.6124,0.628,0.0107,0.0161,74,5.692,0.507,3.797,0.0,1,1
8,1.85,320.0,115.0,28.0,10.0,0.5,0.237,0.34223,0.0195,0.7412,0.787,0.0338,0.0281,10,4.182,0.795,39.199,0.074,0,0
