rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.96,240.0,105.0,28.0,20.0,0.1,0.1312,0.51271,0.1557,0.5441,0.553,0.0043,0.0047,65,5.0,0.499,22.845,0.0,1,1
1,1.96,240.0,105.0,28.0,20.0,0.3,0.3339,0.29204,0.0256,0.7099,0.732,0.0171,0.0163,21,4.645,0.564,32.618,0.047,0,0
1,1.96,240.0,105.0,28.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.96,240.0,105.0,28.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.78,270.0,105.0,28.0,10.0,0.1,0.2392,0.64805,0.0944,0.5106,0.472,0.01,0.0183,80,6.154,0.416,21.425,0.0,1,1
2,1.78,270.0,105.0,28.0,10.0,0.3,0.0904,0.25481,0.0037,0.7896,0.879,0.0247,0.0188,25,4.695,0.555,28.059,0.025,0,0
2,1.78,270.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.78,270.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.83,340.0,105.0,28.0,20.0,0.1,0.2866,0.58096,0.0878,0.5592,0.578,0.0255,0.0218,59,4.538,0.493,25.348,0.0,1,1
3,1.83,340.0,105.0,28.0,20.0,0.3,0.0173,0.47553,0.0109,0.9041,0.897,0.0369,0.0398,54,4.154,0.327,20.378,0.0,1,1
3,1.83,340.0,105.0,28.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.83,340.0,105.0,28.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,310.0,95.0,24.0,20.0,0.1,0.2892,0.51764,0.1583,0.4374,0.429,0.0068,0.0132,74,5.692,0.497,25.509,0.0,1,1
4,1.98,310.0,95.0,24.0,20.0,0.3,-0.0264,0.39466,0.0107,0.8921,0.897,0.0271,0.0286,57,4.385,0.453,17.241,0.0,1,1
4,1.98,310.0,95.0,24.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,310.0,95.0,24.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.8,270.0,105.0,28.0,10.0,0.1,0.2293,0.79708,0.1075,0.487,0.448,0.008,0.0148,69,5.308,0.336,23.146,0.0,1,1
5,1.8,270.0,105.0,28.0,10.0,0.3,-0.0434,0.2724,0.0046,0.8365,0.882,0.0244,0.0278,39,3.859,0.437,21.546,0.017,0,0
5,1.8,270.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.8,270.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.96,310.0,95.0,24.0,20.0,0.1,0.3314,0.47765,0.1679,0.4319,0.423,0.0064,0.011,74,5.692,0.495,25.277,0.0,1,1
6,1.96,310.0,95.0,24.0,20.0,0.3,-0.0707,0.45483,0.0043,0.931,0.935,0.0246,0.0305,59,4.538,0.342,11.542,0.0,1,1
6,1.96,310.0,95.0,24.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
