rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.96,240.0,105.0,28.0,20.0,0.1,0.557,0.5266,0.1556,0.5424,0.551,0.0043,0.0048,64,4.923,0.498,22.794,0.0,1,1
1,1.96,240.0,105.0,28.0,20.0,0.3,-0.0797,0.33,0.0306,0.7444,0.759,0.019,0.012,33,4.893,0.166,30.691,0.029,0,0
1,1.96,240.0,105.0,28.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.96,240.0,105.0,28.0,20.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.78,270.0,105.0,28.0,10.0,0.1,0.5206,0.48092,0.115,0.4895,0.486,0.0063,0.0135,72,5.538,0.494,22.761,0.0,1,1
2,1.78,270.0,105.0,28.0,10.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.78,270.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.78,270.0,105.0,28.0,10.0,0.7,-0.0162,0.25094,0.0136,0.7813,0.915,0.0283,0.0321,7,3.928,0.627,20.097,0.01,0,0
3,1.83,340.0,105.0,28.0,20.0,0.1,0.3843,0.49765,0.1171,0.5151,0.525,0.0144,0.015,70,5.385,0.483,25.931,0.0,1,1
3,1.83,340.0,105.0,28.0,20.0,0.3,0.01,0.5904,0.006,0.9035,0.904,0.037,0.0429,51,3.923,0.219,18.692,0.0,1,1
3,1.83,340.0,105.0,28.0,20.0,0.5,-0.0051,0.58003,0.0012,0.8345,0.914,0.0369,0.0584,5,3.785,2.434,12.299,0.01,0,0
3,1.83,340.0,105.0,28.0,20.0,0.7,-0.0263,nan,0.0014,0.7728,0.861,nan,0.1007,1,0.912,nan,37.324,0.0,0,0
4,1.98,310.0,95.0,24.0,20.0,0.1,0.5632,0.49254,0.1597,0.4348,0.426,0.0072,0.0118,72,5.538,0.5,25.533,0.0,1,1
4,1.98,310.0,95.0,24.0,20.0,0.3,0.0851,0.40318,0.0059,0.8591,0.9,0.0273,0.0314,50,4.279,0.465,22.769,0.017,0,0
4,1.98,310.0,95.0,24.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,310.0,95.0,24.0,20.0,0.7,0.1165,0.15714,0.0049,0.7956,0.916,0.0418,0.0328,14,4.073,0.807,39.299,0.048,0,0
5,1.8,270.0,105.0,28.0,10.0,0.1,0.4687,0.52202,0.1009,0.5012,0.496,0.0078,0.0145,70,5.385,0.491,23.227,0.0,1,1
5,1.8,270.0,105.0,28.0,10.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.8,270.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.8,270.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.96,310.0,95.0,24.0,20.0,0.1,0.5675,0.48235,0.1671,0.4358,0.428,0.0065,0.0106,75,5.769,0.494,25.217,0.0,1,1
6,1.96,310.0,95.0,24.0,20.0,0.3,0.1316,0.51802,0.0056,0.8623,0.895,0.0257,0.0312,28,4.061,0.551,27.4,0.023,0,0
6,1.96,310.0,95.0,24.0,20.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.96,310.0,95.0,24.0,20.0,0.7,0.0364,0.17268,0.0094,0.8783,0.926,0.0394,0.0303,14,4.013,0.62,40.235,0.052,0,0
7,1.84,290.0,95.0,28.0,10.0,0.1,0.4023,0.50697,0.1131,0.4995,0.489,0.01,0.0132,74,5.692,0.471,21.981,0.0,1,1
7,1.84,290.0,95.0,28.0,10.0,0.3,-0.0968,nan,0.1263,0.4174,0.45,nan,0.0036,1,2.71,nan,36.129,0.024,0,0
7,1.84,290.0,95.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
7,1.84,290.0,95.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
8,1.86,260.0,105.0,28.0,10.0,0.1,0.455,0.52771,0.0977,0.5001,0.494,0.0084,0.013,72,5.538,0.484,22.264,0.0,1,1
8,1.86,260.0,105.0,28.0,10.0,0.3,0.0251,0.27767,0.0097,0.7814,0.843,0.0239,0.0221,28,4.158,0.524,25.275,0.022,0,0
8,1.86,260.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
8,1.86,260.0,105.0,28.0,10.0,0.7,0.2461,0.1073,0.0157,0.87,0.931,0.031,0.0265,23,3.905,0.669,25.667,0.034,0,0
9,1.83,300.0,95.0,28.0,10.0,0.1,0.4077,0.48866,0.1088,0.5138,0.498,0.0113,0.0134,75,5.769,0.48,21.324,0.0,1,1
9,1.83,300.0,95.0,28.0,10.0,0.3,0.1807,0.29529,0.0027,0.792,0.879,0.0265,0.0375,16,4.106,0.705,36.039,0.041,0,0
9,1.83,300.0,95.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
9,1.83,300.0,95.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
10,1.81,270.0,105.0,28.0,10.0,0.1,0.4476,0.50743,0.095,0.4993,0.492,0.0103,0.0168,72,5.538,0.481,22.962,0.0,1,1
10,1.81,270.0,105.0,28.0,10.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
10,1.81,270.0,105.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
10,1.81,270.0,105.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
11,1.97,320.0,95.0,24.0,20.0,0.1,0.5828,0.45712,0.1716,0.4361,0.428,0.0074,0.0107,73,5.615,0.489,24.865,0.0,1,1
11,1.97,320.0,95.0,24.0,20.0,0.3,0.0989,0.49063,0.0036,0.9203,0.919,0.0282,0.0333,53,4.077,0.413,14.243,0.0,1,1
11,1.97,320.0,95.0,24.0,20.0,0.5,0.568,nan,0.0,0.5461,0.709,0.0114,0.0265,2,3.617,nan,81.781,0.342,0,0
11,1.97,320.0,95.0,24.0,20.0,0.7,0.0587,0.13421,0.0149,0.9833,0.981,0.0346,0.0436,49,3.769,0.341,18.276,0.0,1,1
12,1.85,280.0,95.0,28.0,10.0,0.1,0.4272,0.48569,0.1117,0.5064,0.499,0.0097,0.0154,76,5.846,0.473,21.573,0.0,1,1
12,1.85,280.0,95.0,28.0,10.0,0.3,0.1425,0.27593,0.0053,0.9262,0.937,0.0243,0.0266,53,4.077,0.498,9.555,0.0,1,1
12,1.85,280.0,95.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
12,1.85,280.0,95.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
13,1.97,260.0,95.0,28.0,10.0,0.1,0.3981,0.49584,0.0823,0.552,0.559,0.0183,0.0161,66,5.077,0.481,19.267,0.0,1,1
13,1.97,260.0,95.0,28.0,10.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
13,1.97,260.0,95.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
