config,kappa,com_ratio,mu,rank,freq,hip_phi,leg_amp,hip_amp,hip_off,survived,net_fwd_speed,n_samples,e_pos_J,e_abs_J,d_fwd_m,cot_pos,single_frac_t,double_frac_t,air_frac_t,roll_mean_deg,roll_rms_deg,pitch_mean_deg,pitch_rms_deg,yaw_mean_deg,yaw_rms_deg,com_x_rms_mm,com_y_rms_mm,com_z_mean_mm,com_z_rms_mm,r_roll_com_x,r_roll_com_y,r_roll_com_z,r_roll_pitch,r_roll_yaw
c1,0.0,1.05,0.1,1,1.8,260.0,125.0,20.0,50.0,1,0.1689,1445,113.751,175.379,2.1956,2.324,0.2125,0.7813,0.0062,-0.172,9.956,-1.914,6.755,12.705,13.92,4.75,9.06,91.24,91.31,-0.7392,-0.0174,-0.1637,0.1326,-0.6312
c1,0.0,1.05,0.1,2,1.81,260.0,125.0,20.0,50.0,1,0.1689,1445,115.027,177.901,2.1959,2.35,0.2028,0.7882,0.009,-0.029,9.957,-1.889,6.745,10.861,12.244,4.76,9.03,91.26,91.33,-0.7404,-0.0042,-0.1508,0.1286,-0.6327
c1,0.0,1.05,0.1,3,1.79,260.0,125.0,20.0,50.0,1,0.1679,1445,112.345,172.302,2.1828,2.309,0.2166,0.7772,0.0062,-0.237,9.984,-2.031,6.749,14.788,15.831,4.72,9.13,91.27,91.34,-0.742,-0.0175,-0.1668,0.1323,-0.642
c1,0.0,1.05,0.1,4,1.97,260.0,125.0,16.0,50.0,1,0.1673,1445,138.544,220.98,2.1751,2.857,0.236,0.7564,0.0076,0.012,9.999,-2.057,5.517,9.171,10.538,5.25,8.68,92.14,92.2,-0.789,0.1877,-0.1462,0.1213,-0.7306
c1,0.0,1.05,0.1,5,1.94,260.0,125.0,16.0,50.0,1,0.1666,1445,131.987,210.608,2.1652,2.735,0.2256,0.764,0.0104,-0.172,9.99,-2.117,5.457,10.251,11.449,5.23,8.62,92.15,92.21,-0.7937,0.1921,-0.1571,0.1289,-0.726
c1,0.0,1.05,0.1,6,1.82,260.0,125.0,20.0,50.0,1,0.1655,1445,116.802,180.868,2.151,2.436,0.2166,0.7765,0.0069,0.104,9.946,-1.92,6.771,9.474,11.087,4.77,8.97,91.23,91.3,-0.7367,0.002,-0.1536,0.1186,-0.6255
c1,0.0,1.05,0.1,7,1.94,260.0,125.0,20.0,50.0,1,0.1653,1445,136.141,218.055,2.1495,2.841,0.2284,0.7661,0.0055,-0.044,10.007,-1.941,6.71,5.765,8.364,5.06,8.67,91.32,91.39,-0.7416,-0.0255,-0.1736,0.1364,-0.6276
c1,0.0,1.05,0.1,8,1.92,260.0,125.0,20.0,50.0,1,0.1649,1445,133.065,211.592,2.1437,2.784,0.2208,0.7744,0.0048,0.069,9.998,-1.905,6.792,3.974,7.07,5.01,8.71,91.29,91.37,-0.7397,-0.0592,-0.1643,0.1383,-0.646
c1,0.0,1.05,0.1,9,1.95,260.0,125.0,16.0,50.0,1,0.1666,1445,134.79,214.113,2.1658,2.792,0.2394,0.7509,0.0097,-0.21,10.002,-2.096,5.476,10.183,11.415,5.23,8.64,92.15,92.21,-0.791,0.1905,-0.1595,0.1217,-0.7276
c1,0.0,1.05,0.1,10,1.95,260.0,125.0,20.0,50.0,1,0.1651,1445,139.036,221.69,2.1461,2.906,0.2353,0.7585,0.0062,-0.097,10.024,-1.883,6.693,5.828,8.394,5.07,8.64,91.32,91.4,-0.74,-0.0278,-0.1753,0.1305,-0.6436
