freq,hip_phi,leg_amp,hip_amp,hip_off,n_mu_pass,map_best_net,map_mu_low,crank_rate
1.64,300.0,105.0,28.0,20.0,1,0.5864,0.1,541.0
1.47,290.0,105.0,28.0,20.0,1,0.5187,0.1,485.0
1.7,260.0,105.0,28.0,20.0,1,0.5138,0.1,561.0
1.49,290.0,105.0,28.0,20.0,1,0.5126,0.1,492.0
1.64,260.0,105.0,28.0,20.0,1,0.5012,0.1,541.0
1.64,270.0,105.0,28.0,20.0,1,0.5004,0.1,541.0
1.53,310.0,105.0,28.0,20.0,1,0.4986,0.1,505.0
1.67,290.0,95.0,24.0,30.0,1,0.4922,0.1,498.0
1.63,290.0,95.0,24.0,30.0,1,0.4898,0.1,486.0
1.66,290.0,105.0,20.0,30.0,1,0.4888,0.1,548.0
1.7,280.0,95.0,24.0,30.0,1,0.4879,0.1,507.0
1.68,260.0,105.0,28.0,20.0,1,0.485,0.1,554.0
1.61,270.0,115.0,28.0,20.0,1,0.4823,0.1,582.0
1.69,270.0,105.0,28.0,20.0,1,0.4822,0.1,557.0
1.68,300.0,105.0,20.0,30.0,1,0.4812,0.1,554.0
1.64,290.0,105.0,20.0,30.0,1,0.4798,0.1,541.0
1.63,290.0,105.0,20.0,30.0,1,0.4798,0.1,538.0
1.66,300.0,165.0,32.0,0.0,1,0.4796,0.1,860.0
1.69,290.0,135.0,32.0,0.0,1,0.4778,0.1,717.0
1.52,300.0,115.0,20.0,30.0,1,0.4774,0.1,549.0
1.58,300.0,115.0,20.0,30.0,1,0.4768,0.1,571.0
1.54,260.0,135.0,32.0,10.0,1,0.4763,0.1,653.0
1.51,300.0,115.0,20.0,30.0,1,0.4751,0.1,546.0
1.68,290.0,135.0,32.0,0.0,1,0.4728,0.1,713.0
1.67,280.0,105.0,28.0,10.0,1,0.472,0.1,551.0
1.7,280.0,135.0,28.0,0.0,2,0.4714,0.1,721.0
1.65,290.0,105.0,20.0,30.0,1,0.4711,0.1,544.0
1.64,300.0,115.0,24.0,20.0,1,0.47,0.1,593.0
1.67,280.0,95.0,24.0,30.0,1,0.4683,0.1,498.0
1.67,310.0,115.0,16.0,40.0,1,0.4679,0.1,603.0
1.65,300.0,155.0,32.0,0.0,1,0.4676,0.1,803.0
1.67,300.0,165.0,32.0,0.0,1,0.4676,0.1,866.0
1.7,270.0,95.0,24.0,30.0,1,0.4676,0.1,507.0
1.54,320.0,125.0,20.0,30.0,1,0.4675,0.1,605.0
1.7,310.0,115.0,16.0,40.0,1,0.4654,0.1,614.0
1.59,290.0,105.0,20.0,30.0,1,0.4651,0.1,524.0
1.66,280.0,95.0,24.0,30.0,1,0.4647,0.1,495.0
1.61,290.0,105.0,20.0,30.0,1,0.4643,0.1,531.0
1.68,280.0,95.0,24.0,30.0,1,0.463,0.1,501.0
1.68,280.0,125.0,32.0,0.0,1,0.463,0.1,660.0
1.68,290.0,105.0,20.0,30.0,1,0.4628,0.1,554.0
1.65,300.0,165.0,32.0,0.0,1,0.4626,0.1,855.0
1.7,290.0,95.0,20.0,30.0,1,0.4623,0.1,507.0
1.64,290.0,135.0,28.0,0.0,1,0.4618,0.1,696.0
1.66,260.0,105.0,28.0,20.0,1,0.4604,0.1,548.0
1.69,280.0,135.0,28.0,0.0,2,0.46,0.1,717.0
1.56,280.0,115.0,28.0,20.0,1,0.4597,0.1,564.0
1.58,290.0,105.0,20.0,30.0,1,0.4595,0.1,521.0
1.62,290.0,105.0,20.0,30.0,1,0.4586,0.1,534.0
1.7,280.0,115.0,32.0,0.0,1,0.4586,0.1,614.0
1.57,280.0,95.0,28.0,20.0,1,0.4583,0.1,469.0
1.62,290.0,95.0,24.0,30.0,1,0.4582,0.1,483.0
1.69,280.0,95.0,24.0,30.0,1,0.4579,0.1,504.0
1.69,270.0,95.0,24.0,30.0,1,0.4579,0.1,504.0
1.7,290.0,135.0,32.0,0.0,1,0.4573,0.1,721.0
1.58,270.0,115.0,28.0,20.0,1,0.457,0.1,571.0
1.65,280.0,105.0,24.0,30.0,1,0.4564,0.1,544.0
1.6,290.0,95.0,24.0,30.0,1,0.4561,0.1,478.0
1.63,270.0,125.0,28.0,20.0,1,0.456,0.1,640.0
1.68,280.0,105.0,20.0,30.0,1,0.4559,0.1,554.0
1.67,260.0,115.0,28.0,20.0,1,0.4558,0.1,603.0
1.69,280.0,105.0,20.0,30.0,1,0.4557,0.1,557.0
1.57,290.0,105.0,20.0,30.0,1,0.4557,0.1,518.0
1.69,300.0,105.0,20.0,30.0,1,0.4553,0.1,557.0
