freq,hip_phi,leg_amp,hip_amp,hip_off,mu,v_net,fore_mean,fore_min,pct_behind,base_mm,pitch_p2p
1.37,350.0,75.0,16.0,50.0,0.5,0.1225,-4.3,-60.3,58.3,24.9,27.1
1.43,270.0,75.0,32.0,10.0,0.5,0.112,-6.6,-74.5,65.0,40.1,28.6
1.46,250.0,75.0,32.0,10.0,0.5,0.1079,-5.9,-74.9,66.1,43.1,22.9
1.39,350.0,75.0,16.0,50.0,0.5,0.1074,-3.6,-61.7,55.4,24.6,26.9
1.46,270.0,75.0,32.0,10.0,0.5,0.1073,-7.9,-76.1,66.3,42.0,27.7
1.36,350.0,75.0,16.0,50.0,0.5,0.1069,-4.6,-61.1,57.3,24.0,26.5
1.49,250.0,75.0,32.0,20.0,0.5,0.1049,-9.1,-72.3,63.8,38.0,25.7
1.46,250.0,75.0,32.0,20.0,0.5,0.1041,-8.7,-72.6,63.6,39.6,24.8
1.49,270.0,75.0,32.0,10.0,0.5,0.1041,-8.3,-78.4,65.7,39.8,28.9
1.43,350.0,75.0,16.0,50.0,0.5,0.104,-3.8,-61.8,55.4,24.7,26.9
1.47,250.0,75.0,32.0,20.0,0.5,0.1039,-8.7,-71.9,63.4,39.0,25.4
1.48,250.0,75.0,32.0,20.0,0.5,0.1037,-9.2,-72.4,64.5,38.5,25.5
1.38,280.0,75.0,32.0,10.0,0.5,0.1032,-6.6,-77.8,66.4,41.4,31.8
1.48,270.0,75.0,32.0,10.0,0.5,0.1032,-8.6,-78.6,66.0,40.3,28.7
1.49,280.0,75.0,32.0,10.0,0.5,0.1031,-9.6,-78.2,67.9,38.2,30.3
1.41,250.0,75.0,32.0,20.0,0.5,0.1022,-5.5,-72.1,62.0,43.1,28.0
1.44,250.0,75.0,32.0,20.0,0.5,0.1014,-8.4,-73.0,63.8,41.1,25.1
1.38,350.0,75.0,16.0,50.0,0.5,0.1014,-4.4,-61.3,57.1,24.5,27.2
1.47,240.0,75.0,32.0,20.0,0.5,0.1009,-8.3,-71.9,64.4,39.8,25.5
1.49,260.0,75.0,32.0,20.0,0.5,0.1009,-9.5,-72.6,63.5,37.5,27.4
1.43,250.0,75.0,32.0,20.0,0.5,0.1003,-7.4,-72.1,63.7,42.6,28.3
1.32,260.0,85.0,32.0,20.0,0.5,0.1001,-3.3,-68.2,66.3,45.4,28.1
1.49,270.0,75.0,28.0,20.0,0.5,0.1,-6.6,-68.0,68.6,45.2,24.8
1.46,260.0,75.0,32.0,20.0,0.5,0.0993,-8.7,-72.7,62.3,39.5,26.9
1.29,270.0,85.0,32.0,20.0,0.5,0.099,-4.4,-72.4,65.9,42.5,33.0
1.44,260.0,75.0,32.0,20.0,0.5,0.0989,-9.1,-72.2,64.0,40.4,26.6
1.39,280.0,75.0,32.0,10.0,0.5,0.0987,-6.5,-75.4,66.5,41.6,29.4
1.49,260.0,75.0,28.0,20.0,0.5,0.0987,-5.9,-66.4,67.8,45.1,23.4
1.49,240.0,75.0,32.0,20.0,0.5,0.0984,-8.8,-68.2,64.8,39.7,24.4
1.49,270.0,75.0,28.0,10.0,0.5,0.0982,-4.8,-75.8,65.8,45.0,23.0
1.39,250.0,75.0,32.0,20.0,0.5,0.0982,-5.8,-72.8,63.6,42.7,28.9
1.49,330.0,75.0,32.0,20.0,0.5,0.098,-11.4,-71.9,63.9,24.9,41.3
1.31,260.0,85.0,28.0,30.0,0.5,0.0979,-3.7,-61.2,66.9,55.4,22.4
1.48,260.0,75.0,32.0,20.0,0.5,0.0977,-9.2,-72.3,63.9,38.3,27.6
1.46,280.0,75.0,32.0,10.0,0.5,0.0976,-9.2,-78.2,68.5,40.0,29.9
1.38,250.0,75.0,32.0,20.0,0.5,0.0974,-4.4,-73.0,62.0,43.0,26.8
1.43,260.0,75.0,32.0,20.0,0.5,0.0973,-9.1,-72.4,63.8,41.0,26.6
1.48,240.0,75.0,32.0,20.0,0.5,0.0973,-8.6,-68.5,64.6,39.9,24.3
