freq,hip_phi,leg_amp,hip_amp,hip_off,mu,sweep_net,centre_net,worst_net,mean_net,n_fell,worst_clear,worst_drift,worst_at
1.46,250.0,75.0,32.0,20.0,0.5,0.098,0.1041,0.096,0.1033,0,8.1,11.4,leg-3 freq-0.03
1.49,260.0,75.0,32.0,20.0,0.5,0.0921,0.1009,0.0944,0.1007,0,12.3,1.0,leg-1 freq-0.02
1.47,240.0,75.0,32.0,20.0,0.5,0.0954,0.1008,0.0879,0.0977,0,7.6,20.4,leg-3 freq-0.03
1.49,250.0,75.0,28.0,20.0,0.5,0.0903,0.0924,0.0845,0.0931,0,8.2,3.8,leg-3 freq-0.03
1.49,250.0,75.0,28.0,30.0,0.5,0.0841,0.0908,0.0845,0.0899,0,10.2,3.9,leg+0 freq-0.03
1.49,270.0,75.0,28.0,20.0,0.5,0.0974,0.1,0.0843,0.0968,0,7.2,3.4,leg-3 freq-0.02
1.49,260.0,75.0,28.0,20.0,0.5,0.094,0.0987,0.0832,0.0984,0,4.4,4.4,leg-3 freq-0.02
1.49,280.0,75.0,32.0,10.0,0.5,0.1028,0.1031,0.0827,0.0969,0,8.3,5.0,leg-3 freq-0.03
1.32,270.0,85.0,28.0,20.0,0.5,0.0868,0.094,0.0826,0.0945,0,4.1,6.0,leg-3 freq-0.03
1.32,260.0,85.0,28.0,20.0,0.5,0.0901,0.0964,0.0817,0.0954,0,4.1,2.3,leg-3 freq-0.03
1.48,280.0,75.0,32.0,20.0,0.5,0.0851,0.0876,0.081,0.09,0,13.0,2.3,leg-2 freq-0.01
1.32,280.0,85.0,28.0,20.0,0.5,0.0877,0.0925,0.0794,0.0908,0,2.8,4.8,leg-3 freq-0.03
1.32,260.0,85.0,32.0,20.0,0.5,0.0897,0.1001,0.0792,0.0955,0,4.4,1.3,leg-3 freq-0.02
1.49,280.0,75.0,28.0,20.0,0.5,0.0966,0.0966,0.0768,0.0931,0,2.3,4.5,leg-3 freq-0.03
1.49,240.0,75.0,28.0,30.0,0.5,0.0841,0.0863,0.0763,0.0853,0,8.5,19.7,leg+3 freq-0.03
1.44,290.0,75.0,32.0,20.0,0.5,0.0908,0.0923,0.0753,0.0848,0,11.8,5.4,leg+1 freq+0.02
1.32,280.0,85.0,32.0,10.0,0.5,0.0959,0.097,0.0747,0.0925,0,3.2,3.6,leg-2 freq-0.01
1.31,290.0,85.0,32.0,10.0,0.5,0.0864,0.0874,0.0711,0.0848,0,4.1,11.6,leg+0 freq+0.01
1.31,260.0,85.0,28.0,30.0,0.5,0.0901,0.0979,0.0707,0.0884,0,1.4,2.9,leg-3 freq+0.00
1.49,280.0,75.0,28.0,10.0,0.5,0.088,0.0882,0.0699,0.0861,0,6.3,0.8,leg-3 freq-0.03
1.43,270.0,75.0,32.0,10.0,0.5,0.1034,0.112,0.0686,0.0881,0,14.8,0.9,leg-3 freq-0.02
1.49,300.0,75.0,32.0,20.0,0.5,0.0893,0.0948,0.0676,0.0832,0,13.3,4.0,leg+3 freq+0.02
1.29,290.0,85.0,28.0,20.0,0.5,0.0855,0.0855,0.067,0.082,0,6.3,21.5,leg-3 freq-0.03
1.49,270.0,75.0,28.0,10.0,0.5,0.0948,0.0982,0.0629,0.0926,0,3.4,3.0,leg-2 freq-0.03
1.42,240.0,75.0,32.0,30.0,0.5,0.0896,0.0926,0.0601,0.0853,0,2.3,32.8,leg-1 freq-0.01
1.31,280.0,85.0,28.0,10.0,0.5,0.0873,0.0896,0.0592,0.0747,0,9.8,4.9,leg-3 freq-0.03
1.29,260.0,75.0,32.0,30.0,0.5,0.0847,0.0858,0.058,0.077,0,5.8,37.2,leg-2 freq-0.03
1.46,250.0,75.0,32.0,10.0,0.5,0.1044,0.1079,0.0556,0.0706,0,13.1,4.7,leg-2 freq-0.02
1.43,290.0,75.0,32.0,10.0,0.5,0.0869,0.0951,0.0552,0.078,0,6.6,3.0,leg-3 freq-0.03
1.49,330.0,75.0,32.0,20.0,0.5,0.095,0.098,0.0549,0.0754,0,10.4,4.5,leg-3 freq-0.03
1.29,300.0,85.0,28.0,20.0,0.5,0.0837,0.084,0.049,0.0723,0,9.2,22.2,leg-3 freq-0.03
1.29,290.0,85.0,32.0,20.0,0.5,0.0853,0.0888,0.0166,0.0614,0,7.8,55.8,leg+1 freq-0.03
1.37,350.0,75.0,16.0,50.0,0.5,0.1138,0.1225,0.0,0.08,7,0.0,999.0,leg+0 freq-0.03
