steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,11796,21.1848,1.0000,24.5891,0.3984,0.1102,0.9370,-0.1870,-0.0483,0.2413,-0.1583,-0.0415,-0.2815,0.1407,0.9775,0.9591,0.9822,0.9771,0.9721
500000,10640,23.4974,1.0000,47.3771,0.3217,0.1581,1.9838,-0.1560,-0.0566,0.2663,-0.1502,-0.0322,-0.2158,0.4179,0.9034,0.8934,0.9095,0.9594,0.9373
750000,10088,24.7814,1.0000,53.3152,0.3388,0.1657,2.0925,-0.1446,-0.0542,0.2687,-0.1418,-0.0324,-0.2029,0.4508,0.8425,0.8528,0.8668,0.9240,0.9304
1000000,9666,25.8646,1.0000,55.0335,0.3519,0.1660,2.0942,-0.1479,-0.0516,0.2655,-0.1448,-0.0352,-0.1939,0.4496,0.8117,0.8275,0.8279,0.8765,0.8977
1250000,9427,26.5185,1.0000,55.4873,0.3512,0.1687,2.1035,-0.1458,-0.0486,0.2672,-0.1481,-0.0358,-0.1889,0.4530,0.7741,0.7981,0.7997,0.8314,0.8648
1500000,9266,26.9779,1.0000,57.5535,0.3495,0.1771,2.1124,-0.1366,-0.0456,0.2742,-0.1479,-0.0346,-0.1855,0.4598,0.7626,0.7672,0.7814,0.7927,0.8290
1750000,9170,27.2642,1.0000,58.5247,0.3478,0.1840,2.1161,-0.1305,-0.0444,0.2780,-0.1479,-0.0336,-0.1835,0.4638,0.7612,0.7345,0.7673,0.7646,0.8082
2000000,9114,27.4298,1.0000,59.0252,0.3471,0.1895,2.1217,-0.1243,-0.0429,0.2815,-0.1474,-0.0339,-0.1824,0.4683,0.7444,0.6858,0.7339,0.7397,0.7760
2250000,9073,27.5548,1.0000,59.3314,0.3459,0.1933,2.1231,-0.1202,-0.0414,0.2840,-0.1468,-0.0328,-0.1815,0.4707,0.7329,0.6453,0.7200,0.7152,0.7596
2500000,9059,27.5975,1.0000,59.6744,0.3450,0.1934,2.1307,-0.1168,-0.0407,0.2831,-0.1471,-0.0312,-0.1813,0.4743,0.7234,0.6177,0.7102,0.6844,0.7344
2750000,9040,27.6543,1.0000,59.8976,0.3446,0.1925,2.1360,-0.1156,-0.0404,0.2847,-0.1482,-0.0296,-0.1809,0.4762,0.7307,0.5909,0.7017,0.6692,0.7022
3000000,9043,27.6438,1.0000,59.9654,0.3441,0.1946,2.1347,-0.1139,-0.0410,0.2875,-0.1482,-0.0283,-0.1809,0.4767,0.7367,0.5537,0.7015,0.6605,0.6767
