steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2813,88.5997,0.9996,15.9037,0.6457,12.0125,0.0731,0.0635,0.0959,-0.1981,-0.0039,0.0876,-0.1264,-0.0134,-0.1545,-0.0031,0.3583,0.3597,0.3725,0.3688,0.3718
500000,2189,114.2759,0.9931,29.2476,0.6503,13.2814,0.2872,0.1625,0.2147,-0.1407,-0.0045,0.0955,-0.1582,-0.0135,-0.1328,0.1444,0.3587,0.3582,0.3736,0.3718,0.3783
750000,1577,158.0907,0.9822,26.4490,0.6308,13.8556,0.1933,0.1415,0.1950,-0.1442,-0.0047,0.0982,-0.1536,-0.0141,-0.1003,0.1229,0.3582,0.3550,0.3729,0.3709,0.3827
1000000,1306,191.1256,0.9403,27.8910,0.6067,14.6217,0.0874,0.1392,0.1988,-0.1551,-0.0051,0.1027,-0.1592,-0.0143,-0.0912,0.1213,0.3592,0.3500,0.3730,0.3709,0.3854
1250000,1113,225.3423,0.8940,28.3612,0.5959,14.9490,-0.0016,0.1414,0.2009,-0.1777,-0.0053,0.1102,-0.1632,-0.0147,-0.0740,0.1120,0.3579,0.3439,0.3753,0.3735,0.3878
1500000,900,277.1833,0.8067,28.0288,0.6037,14.6705,-0.0026,0.1379,0.1884,-0.1779,-0.0052,0.1125,-0.1598,-0.0154,-0.0544,0.0994,0.3536,0.3372,0.3757,0.3722,0.3899
1750000,730,342.4493,0.5973,28.7714,0.5971,12.6760,0.0920,0.1415,0.1858,-0.1745,-0.0051,0.1169,-0.1540,-0.0157,-0.0410,0.0986,0.3513,0.3312,0.3713,0.3708,0.3909
2000000,791,315.8116,0.6764,30.1991,0.5811,13.5695,0.1227,0.1603,0.2213,-0.1855,-0.0053,0.1275,-0.1632,-0.0160,-0.0478,0.1285,0.3491,0.3262,0.3761,0.3690,0.3959
2250000,709,352.1876,0.5698,30.2184,0.5713,13.1193,0.1698,0.1681,0.2255,-0.1917,-0.0053,0.1309,-0.1620,-0.0158,-0.0449,0.1297,0.3466,0.3238,0.3809,0.3648,0.3923
2500000,675,371.6030,0.4859,29.1547,0.5634,14.2290,0.0643,0.1855,0.2537,-0.1715,-0.0058,0.1379,-0.1627,-0.0157,-0.0348,0.1679,0.3473,0.3179,0.3823,0.3592,0.3929
2750000,686,364.0860,0.5364,30.0689,0.5530,15.7194,-0.0092,0.1774,0.2513,-0.1851,-0.0060,0.1407,-0.1632,-0.0154,-0.0356,0.1588,0.3449,0.3151,0.3841,0.3625,0.3927
3000000,727,343.5598,0.6066,30.2245,0.5427,15.2992,0.1147,0.1731,0.2592,-0.2003,-0.0062,0.1444,-0.1641,-0.0152,-0.0405,0.1591,0.3457,0.3133,0.3837,0.3592,0.3932
