steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2326,107.2137,0.9948,15.6318,0.6464,11.0937,0.1098,0.0404,0.0701,-0.2079,-0.0039,0.0860,-0.1210,-0.0133,-0.1481,-0.0339,0.3576,0.3679,0.3661,0.3698,0.3698
500000,2569,97.3235,0.9981,34.2607,0.6411,14.4069,0.3235,0.1578,0.2210,-0.1431,-0.0048,0.1041,-0.1600,-0.0134,-0.1457,0.1494,0.3598,0.3644,0.3700,0.3703,0.3693
750000,1493,166.9638,0.9766,28.9621,0.6657,14.7931,0.1738,0.1239,0.1665,-0.1336,-0.0049,0.0997,-0.1421,-0.0141,-0.1019,0.0997,0.3608,0.3659,0.3701,0.3718,0.3665
1000000,1078,232.0946,0.8646,29.7077,0.6489,12.7447,0.2469,0.1044,0.1384,-0.1609,-0.0051,0.0998,-0.1392,-0.0145,-0.0765,0.0579,0.3593,0.3604,0.3683,0.3680,0.3664
1250000,1220,204.4762,0.9139,32.5551,0.6267,12.7470,0.2371,0.1372,0.1772,-0.1517,-0.0053,0.1084,-0.1451,-0.0147,-0.0873,0.1014,0.3607,0.3578,0.3683,0.3687,0.3703
1500000,880,284.5761,0.7761,31.1491,0.6248,11.7696,0.2465,0.1345,0.1722,-0.1374,-0.0055,0.1112,-0.1426,-0.0149,-0.0601,0.1035,0.3617,0.3535,0.3724,0.3689,0.3688
1750000,686,363.6939,0.5262,29.9178,0.6122,11.9830,0.1179,0.1285,0.1616,-0.1675,-0.0055,0.1114,-0.1431,-0.0155,-0.0399,0.0779,0.3611,0.3533,0.3725,0.3664,0.3689
2000000,661,378.5477,0.4660,26.9804,0.5907,12.7354,-0.0890,0.1433,0.1792,-0.1544,-0.0062,0.1194,-0.1465,-0.0173,-0.0342,0.1020,0.3524,0.3520,0.3727,0.3647,0.3757
2250000,712,351.4775,0.5688,34.1781,0.5705,13.9801,-0.0703,0.1739,0.2203,-0.1647,-0.0062,0.1292,-0.1568,-0.0161,-0.0400,0.1379,0.3528,0.3505,0.3724,0.3658,0.3798
2500000,691,360.8307,0.5441,33.7830,0.5559,15.4831,-0.1147,0.1796,0.2316,-0.1704,-0.0069,0.1293,-0.1594,-0.0169,-0.0342,0.1464,0.3507,0.3461,0.3719,0.3644,0.3807
2750000,699,357.9027,0.5637,36.5229,0.5480,14.6677,-0.0443,0.1742,0.2210,-0.1804,-0.0068,0.1219,-0.1543,-0.0179,-0.0359,0.1308,0.3500,0.3384,0.3739,0.3624,0.3847
3000000,639,391.1362,0.4335,34.3563,0.5526,13.5967,-0.0640,0.1730,0.2060,-0.1631,-0.0072,0.1189,-0.1485,-0.0188,-0.0308,0.1245,0.3491,0.3372,0.3808,0.3609,0.3850
