steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,617,401.1167,0.3533,31.3886,0.5660,11.5219,0.1405,0.2149,0.1857,-0.1809,-0.0068,0.1195,-0.1845,-0.0199,-0.0317,0.0952,0.3439,0.3212,0.3921,0.3594,0.3873
500000,547,459.3857,0.1481,32.6301,0.5832,9.4698,0.2349,0.1288,0.1473,-0.1623,-0.0063,0.1012,-0.1648,-0.0199,-0.0156,0.0662,0.3439,0.3217,0.3987,0.3584,0.3921
750000,596,418.6057,0.2970,31.7159,0.5701,10.7259,0.3044,0.1660,0.1917,-0.1447,-0.0068,0.1226,-0.1814,-0.0199,-0.0268,0.1193,0.3353,0.3181,0.3978,0.3685,0.4002
1000000,589,424.0832,0.2716,32.3125,0.5574,10.9967,0.2694,0.1639,0.1887,-0.1683,-0.0072,0.1217,-0.1817,-0.0198,-0.0246,0.1045,0.3295,0.3167,0.3955,0.3673,0.4040
1250000,620,403.6339,0.3177,32.7863,0.5467,11.1044,0.2615,0.1689,0.1924,-0.1644,-0.0072,0.1249,-0.1786,-0.0200,-0.0401,0.1101,0.3297,0.3178,0.3973,0.3670,0.4039
1500000,717,348.5146,0.5077,41.4178,0.5361,10.8202,0.3945,0.1562,0.1835,-0.1665,-0.0072,0.1258,-0.1756,-0.0186,-0.0559,0.1003,0.3285,0.3134,0.3954,0.3679,0.4067
1750000,669,374.0927,0.4484,41.1170,0.5296,11.6669,0.3494,0.1779,0.2118,-0.1631,-0.0074,0.1354,-0.1793,-0.0181,-0.0448,0.1302,0.3251,0.3099,0.3995,0.3675,0.4122
2000000,618,402.2913,0.3786,40.8719,0.5056,10.5854,0.4175,0.1611,0.1884,-0.1996,-0.0077,0.1247,-0.1734,-0.0188,-0.0284,0.0886,0.3202,0.3123,0.4027,0.3699,0.4187
2250000,587,427.9284,0.2811,38.2348,0.5174,11.0546,0.3809,0.1751,0.2021,-0.1618,-0.0084,0.1290,-0.1721,-0.0198,-0.0217,0.1212,0.3206,0.3140,0.4031,0.3698,0.4236
2500000,614,407.3241,0.3355,39.9628,0.5014,10.9366,0.4419,0.1760,0.2096,-0.1690,-0.0087,0.1334,-0.1734,-0.0191,-0.0280,0.1251,0.3167,0.3154,0.4032,0.3640,0.4293
2750000,691,361.6918,0.5109,47.5047,0.4951,10.8581,0.5300,0.1711,0.2046,-0.1884,-0.0086,0.1286,-0.1699,-0.0189,-0.0360,0.1105,0.3098,0.3130,0.4011,0.3625,0.4334
3000000,660,377.9712,0.4303,51.0445,0.5055,11.0369,0.5272,0.1483,0.1795,-0.1590,-0.0095,0.1277,-0.1591,-0.0189,-0.0404,0.1000,0.3111,0.3092,0.4006,0.3631,0.4378
