steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1474,168.4084,0.8623,13.6252,0.8954,0.1200,85.5460,0.0066,0.0083,-0.0972,0.6308,9.9534,0.1340,0.2774,0.0439,-0.1842,-0.0034,0.0000,0.0000,-0.0135,-0.1291,-0.0482,0.3550,0.3499,0.3733,0.3652,0.3667
500000,745,334.3034,0.5154,27.2324,2.7353,0.1700,84.1012,0.0088,0.0112,-0.1362,0.6105,8.7198,0.3448,0.3262,0.0911,-0.1053,-0.0034,0.0000,0.0000,-0.0136,-0.0642,0.0384,0.3495,0.3415,0.3719,0.3671,0.3663
750000,657,381.6317,0.3607,29.1940,1.3765,0.2200,78.6557,0.0098,0.0116,-0.1095,0.6061,7.7687,0.3752,0.3181,0.0900,-0.0997,-0.0033,0.0000,0.0000,-0.0143,-0.0480,0.0401,0.3451,0.3396,0.3701,0.3674,0.3628
1000000,643,388.5303,0.3577,27.6191,3.1995,0.2700,76.6318,0.0113,0.0129,-0.0785,0.6121,8.0890,0.3564,0.2473,0.1038,-0.0917,-0.0035,0.0000,0.0000,-0.0151,-0.0437,0.0580,0.3540,0.3428,0.3673,0.3710,0.3653
1250000,691,362.3285,0.4964,26.9251,6.3890,0.3700,80.5066,0.0147,0.0164,-0.0623,0.6106,10.0155,0.1940,0.2068,0.1435,-0.0881,-0.0040,0.0000,0.0000,-0.0159,-0.0466,0.0994,0.3525,0.3447,0.3649,0.3764,0.3653
1500000,735,339.8680,0.5755,28.2257,8.0160,0.3700,87.7782,0.0189,0.0199,-0.0361,0.6099,12.0451,0.0848,0.2317,0.1700,-0.1006,-0.0046,0.0000,0.0000,-0.0164,-0.0504,0.1197,0.3542,0.3423,0.3638,0.3723,0.3706
1750000,640,390.3531,0.4469,28.6205,4.7943,0.3700,84.4992,0.0220,0.0231,-0.0349,0.6162,12.9540,-0.0645,0.2448,0.1796,-0.1051,-0.0049,0.0000,0.0000,-0.0173,-0.0359,0.1271,0.3493,0.3390,0.3654,0.3741,0.3686
2000000,666,376.6126,0.4535,30.6048,8.0165,0.4700,94.5438,0.0283,0.0291,-0.0199,0.5995,14.3611,-0.1214,0.1879,0.2062,-0.1289,-0.0058,0.0000,0.0000,-0.0179,-0.0370,0.1418,0.3464,0.3403,0.3666,0.3688,0.3705
2250000,776,322.1005,0.6817,32.1633,2.3252,0.4700,109.1876,0.0361,0.0336,0.0214,0.5725,15.2620,-0.0759,0.1998,0.2258,-0.1456,-0.0065,0.0000,0.0000,-0.0186,-0.0486,0.1530,0.3474,0.3360,0.3679,0.3703,0.3703
2500000,817,305.5410,0.7332,32.8408,2.7660,0.4700,111.5168,0.0454,0.0376,0.0760,0.5585,17.0895,-0.1643,0.2052,0.2484,-0.1453,-0.0069,0.0000,0.0000,-0.0191,-0.0495,0.1757,0.3459,0.3360,0.3692,0.3704,0.3680
2750000,774,323.7920,0.6628,33.0392,-1.1777,0.4700,116.8345,0.0487,0.0384,0.1006,0.5593,17.4726,-0.2363,0.1816,0.2257,-0.1770,-0.0070,0.0000,0.0000,-0.0196,-0.0517,0.1372,0.3483,0.3304,0.3679,0.3716,0.3584
3000000,715,348.6573,0.5776,30.6875,-1.8231,0.4700,108.6350,0.0493,0.0378,0.1160,0.5671,17.0392,-0.1999,0.1580,0.1960,-0.1979,-0.0068,0.0000,0.0000,-0.0197,-0.0460,0.0970,0.3371,0.3283,0.3702,0.3730,0.3579
