steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1439,171.9618,0.8603,14.2923,1.9887,0.1200,84.0156,0.0069,0.0092,-0.1303,0.6470,10.3018,0.1438,0.3023,0.0519,-0.1603,-0.0095,0.0676,-0.1150,-0.0130,-0.2320,-0.1154,-0.0283,0.3418,0.3424,0.3510,0.3510,0.3497
500000,715,350.7063,0.4937,32.4302,8.4332,0.1700,93.8951,0.0091,0.0127,-0.1731,0.6264,7.9808,0.5400,0.3681,0.1093,-0.0846,-0.0093,0.0609,-0.1199,-0.0122,-0.2150,-0.0496,0.0670,0.3324,0.3327,0.3412,0.3386,0.3377
750000,650,384.2662,0.3908,34.9358,7.7227,0.1700,85.1809,0.0100,0.0129,-0.1428,0.6151,7.6877,0.5838,0.3656,0.1033,-0.0876,-0.0090,0.0586,-0.1194,-0.0117,-0.2087,-0.0365,0.0595,0.3247,0.3222,0.3306,0.3299,0.3310
1000000,881,284.4665,0.6356,32.7211,12.0412,0.4700,107.6574,0.0141,0.0166,-0.0972,0.6146,10.6365,0.4082,0.1670,0.1612,-0.0916,-0.0092,0.0810,-0.1426,-0.0110,-0.2084,-0.0604,0.1153,0.3216,0.3201,0.3267,0.3282,0.3255
1250000,1538,162.8576,0.9688,34.6166,17.3521,0.4700,139.8508,0.0224,0.0234,-0.0405,0.5802,13.8489,0.2829,0.1962,0.2370,-0.1038,-0.0104,0.1089,-0.1697,-0.0105,-0.2266,-0.0960,0.1851,0.3156,0.3153,0.3247,0.3275,0.3214
1500000,1488,168.1156,0.9765,32.3838,16.4597,0.4700,129.7826,0.0260,0.0266,-0.0346,0.5778,14.7498,0.1811,0.1934,0.2406,-0.1091,-0.0104,0.1158,-0.1707,-0.0104,-0.2287,-0.0930,0.1860,0.3124,0.3097,0.3200,0.3240,0.3180
1750000,1388,180.0533,0.9553,30.3016,12.4519,0.4700,132.3209,0.0263,0.0267,-0.0366,0.5753,15.9491,0.0573,0.1917,0.2377,-0.1055,-0.0101,0.1133,-0.1710,-0.0104,-0.2287,-0.0908,0.1850,0.3069,0.3046,0.3150,0.3226,0.3139
2000000,1419,176.1677,0.9634,31.1648,11.3718,0.4700,128.2161,0.0289,0.0288,-0.0365,0.5551,16.3523,0.0623,0.1781,0.2292,-0.1328,-0.0102,0.1103,-0.1709,-0.0100,-0.2275,-0.0927,0.1628,0.3021,0.2983,0.3114,0.3213,0.3111
2250000,1257,198.5386,0.9459,29.2138,6.3237,0.4700,117.3071,0.0321,0.0283,0.0260,0.5547,15.4467,0.1241,0.1812,0.2383,-0.1044,-0.0103,0.1140,-0.1689,-0.0097,-0.2306,-0.0791,0.1860,0.2978,0.2911,0.3036,0.3177,0.3054
2500000,1158,215.3256,0.9171,30.7313,2.8212,0.4700,144.6189,0.0427,0.0337,0.0676,0.5497,17.3475,0.0550,0.2046,0.2753,-0.1052,-0.0107,0.1266,-0.1774,-0.0095,-0.2385,-0.0760,0.2228,0.2949,0.2867,0.3003,0.3141,0.3022
2750000,799,313.7697,0.6771,28.2202,4.0932,0.4700,109.5408,0.0422,0.0365,0.0440,0.5627,16.4179,0.0252,0.1818,0.2340,-0.1326,-0.0103,0.1238,-0.1741,-0.0093,-0.2264,-0.0512,0.1677,0.2924,0.2781,0.2946,0.3080,0.2969
3000000,924,271.0465,0.7911,32.1616,9.1081,0.4700,117.6718,0.0384,0.0396,-0.0385,0.5651,17.2841,0.0263,0.1828,0.2463,-0.1509,-0.0102,0.1234,-0.1786,-0.0088,-0.2137,-0.0624,0.1708,0.2870,0.2744,0.2921,0.3001,0.2966
