steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1755,141.2593,0.9128,13.4339,-0.5611,0.1200,86.6110,0.0060,0.0073,-0.0929,0.6217,9.7258,0.1146,0.2746,0.0433,-0.1843,-0.0034,0.0783,-0.1096,-0.0137,-0.0941,-0.1387,-0.0489,0.3513,0.3503,0.3690,0.3559,0.3699
500000,646,386.3313,0.3467,27.2017,7.4815,0.1700,69.7924,0.0081,0.0110,-0.1488,0.6051,6.7466,0.4960,0.3638,0.0814,-0.1083,-0.0032,0.0560,-0.1087,-0.0158,-0.0718,-0.0485,0.0272,0.3388,0.3376,0.3763,0.3495,0.3700
750000,826,304.1102,0.5508,33.5122,11.4790,0.3700,110.5819,0.0076,0.0104,-0.1559,0.5853,5.7743,0.7270,0.1505,0.1075,-0.1011,-0.0031,0.0489,-0.1107,-0.0160,-0.0678,-0.0751,0.0569,0.3359,0.3325,0.3803,0.3435,0.3642
1000000,875,285.4126,0.6937,33.1523,14.8433,0.3700,84.7840,0.0103,0.0125,-0.1002,0.5913,7.7955,0.5804,0.1404,0.1127,-0.1130,-0.0034,0.0677,-0.1246,-0.0148,-0.0725,-0.0741,0.0562,0.3356,0.3312,0.3828,0.3394,0.3674
1250000,817,305.8592,0.6377,29.7055,14.6750,0.3700,72.1070,0.0109,0.0142,-0.1282,0.6111,8.7866,0.4144,0.1144,0.0944,-0.1397,-0.0036,0.0699,-0.1304,-0.0150,-0.0770,-0.0653,0.0245,0.3239,0.3225,0.3833,0.3355,0.3672
1500000,1288,194.5575,0.8688,15.8107,5.5313,0.3700,75.5719,0.0065,0.0103,-0.1998,0.6310,9.2539,0.0731,0.0514,0.0549,-0.1413,-0.0034,0.0727,-0.1078,-0.0142,-0.0751,-0.1123,-0.0158,0.3106,0.3108,0.3731,0.3277,0.3715
1750000,718,347.2577,0.4972,17.2000,7.5271,0.4200,62.4425,0.0085,0.0132,-0.2102,0.6499,8.7501,0.1043,0.0588,0.0700,-0.1160,-0.0036,0.0688,-0.1080,-0.0152,-0.0764,-0.0613,0.0120,0.3025,0.3087,0.3705,0.3231,0.3736
2000000,1277,195.8387,0.8810,14.3866,6.0068,0.4200,69.3524,0.0040,0.0084,-0.3319,0.6496,7.0989,0.0492,0.0121,0.0398,-0.1250,-0.0032,0.0643,-0.0850,-0.0147,-0.0620,-0.1035,-0.0227,0.2764,0.2820,0.3682,0.2961,0.3783
2250000,869,287.8504,0.7365,15.1203,7.1211,0.4200,65.5425,0.0036,0.0098,-0.4448,0.6664,7.8991,0.0013,0.0192,0.0556,-0.0792,-0.0040,0.0592,-0.0785,-0.0140,-0.0635,-0.0627,0.0160,0.2638,0.2751,0.3717,0.2798,0.3778
2500000,858,290.8881,0.6923,18.9648,8.3909,0.4200,62.3697,0.0033,0.0103,-0.4932,0.6878,8.2418,-0.0730,0.0136,0.0462,-0.0921,-0.0037,0.0569,-0.0714,-0.0129,-0.0574,-0.0716,0.0002,0.2484,0.2585,0.3679,0.2622,0.3730
2750000,564,443.3156,0.1897,26.8743,11.1326,0.4700,41.2089,0.0028,0.0095,-0.5367,0.7754,6.6453,0.1460,0.0023,0.0325,-0.0700,-0.0025,0.0381,-0.0533,-0.0110,-0.0389,-0.0208,-0.0025,0.2288,0.2455,0.3673,0.2471,0.3625
3000000,537,466.1304,0.0764,34.1158,14.2326,0.4700,38.2376,0.0026,0.0097,-0.5590,0.8140,5.3153,0.4002,0.0006,0.0269,-0.0658,-0.0021,0.0357,-0.0416,-0.0089,-0.0311,-0.0208,-0.0060,0.2116,0.2339,0.3578,0.2345,0.3536
