steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1489,166.4103,0.8536,14.4550,1.1147,0.1200,87.3634,0.0068,0.0088,-0.1110,0.6393,10.2463,0.1279,0.2851,0.0450,-0.1736,-0.0097,0.0000,0.0000,-0.0133,-0.1674,-0.1216,-0.0418,0.3430,0.3391,0.3702,0.3454,0.3667
500000,676,368.8757,0.4704,29.7817,1.9596,0.1700,79.0403,0.0096,0.0123,-0.1258,0.6158,8.5585,0.4218,0.3445,0.0897,-0.0994,-0.0096,0.0000,0.0000,-0.0129,-0.1508,-0.0410,0.0400,0.3257,0.3292,0.3696,0.3307,0.3661
750000,641,392.0140,0.3495,28.6400,5.7028,0.3700,77.2061,0.0102,0.0128,-0.1168,0.6189,8.6079,0.3692,0.2150,0.0892,-0.1076,-0.0096,0.0000,0.0000,-0.0129,-0.1452,-0.0402,0.0354,0.3191,0.3213,0.3744,0.3216,0.3600
1000000,1232,203.3961,0.9115,31.6864,10.1306,0.3700,122.5136,0.0125,0.0151,-0.1036,0.6141,13.8149,0.1524,0.2067,0.1622,-0.0977,-0.0102,0.0000,0.0000,-0.0121,-0.1413,-0.0812,0.1133,0.3094,0.3161,0.3729,0.3167,0.3632
1250000,1063,234.1957,0.8354,29.4289,8.5765,0.3700,114.1057,0.0155,0.0170,-0.0627,0.6137,14.8820,-0.0028,0.2156,0.1689,-0.1065,-0.0108,0.0000,0.0000,-0.0119,-0.1438,-0.0715,0.1157,0.3039,0.3121,0.3685,0.3123,0.3617
1500000,790,317.3038,0.6595,25.2853,-2.2110,0.3700,96.3075,0.0155,0.0180,-0.0903,0.6202,13.8635,-0.0811,0.1915,0.1468,-0.1073,-0.0112,0.0000,0.0000,-0.0118,-0.1473,-0.0528,0.0931,0.2959,0.3007,0.3737,0.3072,0.3577
1750000,792,315.6919,0.6515,28.4342,-3.4989,0.3700,100.5587,0.0171,0.0210,-0.1089,0.6118,13.8131,-0.0496,0.2132,0.1648,-0.1239,-0.0114,0.0000,0.0000,-0.0114,-0.1462,-0.0571,0.1029,0.2898,0.2970,0.3744,0.3039,0.3550
2000000,756,329.8373,0.6389,28.4232,0.4415,0.3700,94.3836,0.0190,0.0233,-0.1057,0.6144,14.2235,-0.0873,0.2610,0.2008,-0.1108,-0.0116,0.0000,0.0000,-0.0112,-0.1435,-0.0467,0.1454,0.2873,0.2945,0.3744,0.2974,0.3552
2250000,743,337.2261,0.6016,30.2081,-1.2112,0.3700,105.4029,0.0210,0.0266,-0.1193,0.6043,13.4749,0.0207,0.2613,0.2094,-0.1135,-0.0121,0.0000,0.0000,-0.0109,-0.1439,-0.0494,0.1527,0.2824,0.2886,0.3770,0.2927,0.3506
2500000,723,345.7898,0.5380,31.5042,-4.6574,0.3700,107.5962,0.0232,0.0287,-0.1129,0.5981,13.4207,0.0122,0.2633,0.2162,-0.1148,-0.0129,0.0000,0.0000,-0.0105,-0.1441,-0.0470,0.1588,0.2774,0.2819,0.3811,0.2891,0.3493
2750000,638,392.4671,0.4216,31.6279,-1.5802,0.3700,99.7539,0.0256,0.0325,-0.1190,0.5978,13.4506,0.0135,0.2684,0.2208,-0.1203,-0.0136,0.0000,0.0000,-0.0108,-0.1509,-0.0316,0.1607,0.2710,0.2752,0.3795,0.2881,0.3491
3000000,696,358.8405,0.5330,33.4631,-7.3807,0.4200,99.5549,0.0260,0.0322,-0.1076,0.5926,13.5964,0.0901,0.2461,0.2287,-0.1194,-0.0130,0.0000,0.0000,-0.0105,-0.1484,-0.0404,0.1690,0.2687,0.2686,0.3810,0.2808,0.3457
