steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,685,363.2891,0.5299,33.2477,-9.4690,0.4700,102.1339,0.0344,0.0429,-0.1081,0.5788,15.2904,-0.0638,0.2345,0.2656,-0.1136,-0.0129,0.0000,0.0000,-0.0106,-0.1535,-0.0375,0.2088,0.2643,0.2638,0.3865,0.2731,0.3471
500000,700,356.9629,0.5300,34.2790,-8.1463,0.4700,109.1735,0.0343,0.0432,-0.1123,0.5743,15.6640,-0.1663,0.2472,0.2717,-0.1141,-0.0132,0.0000,0.0000,-0.0107,-0.1484,-0.0426,0.2147,0.2548,0.2572,0.3892,0.2710,0.3446
750000,766,325.3486,0.6540,34.1922,-10.2337,0.4700,120.8448,0.0353,0.0437,-0.0983,0.5706,15.7651,-0.0643,0.2514,0.2951,-0.1019,-0.0140,0.0000,0.0000,-0.0107,-0.1491,-0.0445,0.2441,0.2514,0.2557,0.3868,0.2668,0.3470
1000000,727,344.7675,0.5818,35.3684,-10.4303,0.4700,111.7876,0.0356,0.0449,-0.1123,0.5729,15.9606,-0.0620,0.2400,0.2843,-0.1094,-0.0140,0.0000,0.0000,-0.0109,-0.1506,-0.0554,0.2296,0.2473,0.2496,0.3880,0.2584,0.3430
1250000,750,333.6493,0.5933,37.1685,-17.6684,0.4700,113.5302,0.0351,0.0452,-0.1175,0.5759,16.3063,-0.0219,0.2517,0.2969,-0.0990,-0.0140,0.0000,0.0000,-0.0105,-0.1439,-0.0467,0.2474,0.2435,0.2478,0.3896,0.2550,0.3380
1500000,615,404.9610,0.3789,33.4400,-11.1796,0.4700,102.0338,0.0357,0.0449,-0.1082,0.5798,15.9659,-0.1389,0.2580,0.2848,-0.0965,-0.0140,0.0000,0.0000,-0.0103,-0.1388,-0.0294,0.2366,0.2341,0.2419,0.3894,0.2537,0.3394
1750000,624,400.6234,0.4071,34.4387,-17.4184,0.4700,101.3387,0.0371,0.0463,-0.1070,0.5799,15.5468,-0.1328,0.2801,0.3160,-0.0779,-0.0144,0.0000,0.0000,-0.0099,-0.1396,-0.0282,0.2770,0.2286,0.2352,0.3868,0.2505,0.3373
2000000,640,390.4203,0.4297,33.9825,-15.3206,0.4700,102.6245,0.0373,0.0452,-0.0930,0.5790,15.8142,-0.1701,0.2679,0.3037,-0.0953,-0.0155,0.0000,0.0000,-0.0096,-0.1393,-0.0294,0.2560,0.2246,0.2303,0.3853,0.2467,0.3394
2250000,637,393.6060,0.4254,34.5376,-9.7961,0.4700,108.9740,0.0371,0.0461,-0.1029,0.5748,15.1497,-0.1475,0.2934,0.3315,-0.0769,-0.0158,0.0000,0.0000,-0.0095,-0.1370,-0.0259,0.2931,0.2222,0.2234,0.3824,0.2431,0.3366
2500000,628,396.4682,0.4315,36.0090,-16.8826,0.4700,107.0121,0.0410,0.0480,-0.0752,0.5658,15.7521,-0.1642,0.2905,0.3353,-0.0997,-0.0165,0.0000,0.0000,-0.0088,-0.1356,-0.0233,0.2855,0.2188,0.2214,0.3821,0.2393,0.3345
2750000,595,421.7580,0.3311,35.2369,-13.8578,0.4700,102.7047,0.0408,0.0469,-0.0656,0.5644,15.1021,-0.1819,0.3093,0.3450,-0.0723,-0.0164,0.0000,0.0000,-0.0087,-0.1294,-0.0195,0.3089,0.2149,0.2179,0.3861,0.2324,0.3356
3000000,572,436.2832,0.2430,35.5515,-17.8289,0.4700,93.0716,0.0403,0.0469,-0.0731,0.5693,15.2380,-0.2367,0.3047,0.3325,-0.0925,-0.0168,0.0000,0.0000,-0.0084,-0.1228,-0.0190,0.2862,0.2119,0.2103,0.3819,0.2272,0.3364
