steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2009,124.0373,0.9706,21.9080,7.9304,0.1200,100.3452,0.0217,0.0238,-0.0353,0.6845,9.9670,0.2489,0.2497,0.0820,0.0000,-0.0038,0.0682,-0.1363,-0.0133,-0.1389,-0.0295,0.3668,0.3661,0.3681,0.3695,0.3646
500000,934,267.4690,0.7666,30.2066,8.6327,0.1200,103.8937,0.0212,0.0267,-0.1104,0.6905,9.7790,0.3841,0.3217,0.1077,0.0000,-0.0038,0.0629,-0.1181,-0.0139,-0.0718,0.0387,0.3663,0.3616,0.3717,0.3685,0.3655
750000,622,402.4534,0.3232,31.9518,11.0044,0.3200,79.6617,0.0149,0.0268,-0.2718,0.7282,8.3341,0.4238,0.2706,0.0707,0.0000,-0.0037,0.0586,-0.0929,-0.0139,-0.0333,0.0054,0.3504,0.3556,0.3660,0.3622,0.3676
1000000,745,335.2711,0.5879,34.6148,10.2733,0.3200,101.0230,0.0291,0.0569,-0.2961,0.7388,10.9084,0.3266,0.1642,0.1100,0.0000,-0.0045,0.0905,-0.1303,-0.0136,-0.0462,0.0168,0.3412,0.3536,0.3701,0.3550,0.3668
1250000,630,396.5603,0.3762,30.4608,6.4426,0.4200,106.9860,0.0353,0.0798,-0.3543,0.6692,11.5664,0.2980,0.1436,0.1238,0.0000,-0.0054,0.1149,-0.1484,-0.0135,-0.0321,0.0052,0.3327,0.3468,0.3755,0.3470,0.3625
1500000,735,339.6490,0.5728,31.5718,6.7968,0.4200,160.4962,0.0579,0.1327,-0.3649,0.6053,14.7096,0.3935,0.1310,0.1805,0.0000,-0.0077,0.1518,-0.1883,-0.0145,-0.0470,0.0315,0.3233,0.3413,0.3732,0.3491,0.3624
1750000,698,359.4943,0.5287,33.8429,9.7068,0.4200,151.7987,0.0645,0.1390,-0.3311,0.5675,14.7414,0.2674,0.1389,0.1820,0.0000,-0.0077,0.1472,-0.1725,-0.0153,-0.0376,0.0307,0.3164,0.3339,0.3788,0.3425,0.3667
2000000,706,353.6317,0.5538,34.6038,8.9062,0.4200,168.5381,0.0723,0.1617,-0.3493,0.5399,16.5770,0.2005,0.1329,0.1861,0.0000,-0.0086,0.1542,-0.1736,-0.0146,-0.0364,0.0193,0.3106,0.3305,0.3770,0.3406,0.3674
2250000,733,340.9836,0.6057,35.0492,11.1272,0.4200,151.2437,0.0794,0.1501,-0.2751,0.5364,16.8768,0.0505,0.1401,0.1929,0.0000,-0.0078,0.1467,-0.1642,-0.0140,-0.0407,0.0359,0.3104,0.3256,0.3773,0.3416,0.3717
2500000,664,376.2666,0.5000,31.4905,7.4551,0.4200,148.1468,0.1022,0.1490,-0.1745,0.5074,17.7290,0.1123,0.1361,0.2014,0.0000,-0.0086,0.1583,-0.1666,-0.0128,-0.0315,0.0279,0.3086,0.3255,0.3776,0.3446,0.3757
2750000,609,411.0082,0.3793,31.0952,6.4935,0.4200,131.0058,0.1151,0.1310,-0.0545,0.4848,16.9684,0.1625,0.1422,0.1992,0.0000,-0.0089,0.1524,-0.1601,-0.0132,-0.0232,0.0299,0.3107,0.3274,0.3794,0.3458,0.3818
3000000,632,395.2627,0.4399,32.5813,7.2601,0.4700,130.9645,0.1290,0.1378,-0.0247,0.4777,16.6960,0.1430,0.1467,0.2300,0.0000,-0.0083,0.1533,-0.1681,-0.0137,-0.0240,0.0706,0.3112,0.3274,0.3839,0.3444,0.3879
3250000,658,380.2462,0.4802,32.6334,3.2156,0.4700,147.9127,0.1472,0.1425,0.0200,0.4700,19.3301,-0.0362,0.1453,0.2512,0.0000,-0.0091,0.1612,-0.1690,-0.0145,-0.0268,0.0942,0.3083,0.3233,0.3842,0.3430,0.3882
