steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1907,130.9544,0.9560,18.2664,-1.1275,0.1200,95.7715,0.0209,0.0199,0.0222,0.6757,9.8017,0.1888,0.2569,0.0644,-0.2292,0.0000,0.0677,-0.1328,-0.0135,-0.1379,-0.0502,0.3617,0.3633,0.3731,0.3680,0.3737
500000,1127,220.9752,0.8314,31.4654,5.8866,0.1200,121.2982,0.0185,0.0234,-0.1069,0.6622,8.8355,0.5306,0.3190,0.1109,-0.1343,0.0000,0.0590,-0.1191,-0.0144,-0.0908,0.0438,0.3614,0.3608,0.3752,0.3740,0.3765
750000,693,361.2900,0.4791,29.0139,7.4108,0.2700,90.2089,0.0155,0.0225,-0.1743,0.6823,8.8296,0.4269,0.2970,0.0790,-0.1224,0.0000,0.0571,-0.1010,-0.0155,-0.0438,0.0178,0.3611,0.3552,0.3731,0.3683,0.3795
1000000,759,329.0408,0.5731,25.6841,7.6145,0.2700,88.5416,0.0198,0.0251,-0.1191,0.6571,10.3410,0.2575,0.1837,0.0891,-0.1434,0.0000,0.0711,-0.1173,-0.0164,-0.0562,0.0174,0.3594,0.3519,0.3785,0.3726,0.3809
1250000,757,330.1229,0.5007,24.1598,3.6645,0.2700,92.3663,0.0232,0.0277,-0.0857,0.6453,9.5309,0.3061,0.1772,0.0877,-0.1661,0.0000,0.0737,-0.1233,-0.0170,-0.0648,0.0046,0.3564,0.3488,0.3746,0.3799,0.3893
1500000,703,356.2290,0.3841,20.8124,3.8511,0.3200,76.4296,0.0210,0.0242,-0.0714,0.6208,8.8080,0.3240,0.1243,0.0765,-0.1702,0.0000,0.0758,-0.1212,-0.0195,-0.0695,-0.0086,0.3585,0.3415,0.3730,0.3772,0.3946
1750000,859,291.4726,0.6566,24.4025,-0.6589,0.3200,102.0405,0.0406,0.0362,0.0245,0.5806,11.0214,0.4087,0.1643,0.1350,-0.1688,0.0000,0.1007,-0.1436,-0.0186,-0.0780,0.0506,0.3522,0.3373,0.3746,0.3802,0.3992
2000000,896,277.6797,0.7344,28.3101,1.3202,0.3200,107.7832,0.0550,0.0469,0.0597,0.5381,11.5109,0.3416,0.1838,0.1746,-0.1791,0.0000,0.1012,-0.1559,-0.0195,-0.0771,0.0851,0.3493,0.3378,0.3736,0.3759,0.4065
2250000,830,302.3072,0.6313,27.4596,-3.5342,0.3200,107.3416,0.0582,0.0465,0.0902,0.5427,12.1625,0.2269,0.1990,0.1749,-0.1583,0.0000,0.1039,-0.1503,-0.0229,-0.0719,0.0958,0.3464,0.3359,0.3802,0.3805,0.4097
2500000,719,347.2531,0.5174,20.2871,2.5996,0.3700,86.7513,0.0389,0.0434,-0.0753,0.5677,11.1748,0.2466,0.1226,0.1061,-0.2104,0.0000,0.0879,-0.1504,-0.0229,-0.0519,0.0009,0.3478,0.3318,0.3770,0.3774,0.4189
