steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2620,95.1221,0.9821,17.5275,5.0985,0.1200,93.7199,0.0175,0.0204,-0.0509,0.6706,10.2883,0.1694,0.2428,0.0635,-0.2394,-0.0038,0.0760,-0.1319,-0.0135,0.0000,-0.0562,0.3591,0.3617,0.3675,0.3640,0.3710
500000,975,256.4677,0.7097,29.7283,12.6052,0.1200,90.4498,0.0158,0.0272,-0.2466,0.7205,8.9800,0.4911,0.3075,0.0852,-0.1559,-0.0038,0.0624,-0.1075,-0.0148,0.0000,0.0073,0.3532,0.3625,0.3679,0.3633,0.3748
750000,665,375.9308,0.3459,29.5459,11.3199,0.2200,70.3323,0.0124,0.0258,-0.3371,0.7251,8.4149,0.3599,0.2085,0.0599,-0.1488,-0.0037,0.0628,-0.0901,-0.0165,0.0000,-0.0145,0.3479,0.3577,0.3717,0.3660,0.3760
1000000,669,373.1794,0.3812,32.1746,11.7710,0.2200,79.3008,0.0136,0.0279,-0.3320,0.7192,8.3153,0.3719,0.1973,0.0620,-0.1575,-0.0038,0.0653,-0.0939,-0.0165,0.0000,-0.0167,0.3495,0.3556,0.3715,0.3600,0.3782
1250000,676,370.5370,0.4704,35.1200,13.7547,0.2700,80.1474,0.0164,0.0323,-0.3203,0.7616,9.8142,0.2505,0.1743,0.0711,-0.1411,-0.0039,0.0673,-0.0921,-0.0162,0.0000,0.0005,0.3489,0.3547,0.3714,0.3555,0.3765
1500000,784,318.9031,0.6173,37.9120,17.5835,0.2700,84.8065,0.0178,0.0307,-0.2570,0.7735,10.4094,0.1975,0.1515,0.0665,-0.1511,-0.0044,0.0734,-0.0965,-0.0168,0.0000,-0.0091,0.3405,0.3574,0.3729,0.3539,0.3742
1750000,682,366.0616,0.4575,39.0162,14.8514,0.3200,80.0081,0.0144,0.0259,-0.2824,0.7831,8.7857,0.2408,0.1166,0.0584,-0.1494,-0.0051,0.0727,-0.0901,-0.0175,0.0000,-0.0163,0.3359,0.3552,0.3763,0.3542,0.3742
2000000,899,278.2492,0.6941,38.6480,18.9834,0.3200,95.0276,0.0165,0.0281,-0.2513,0.7730,9.6149,0.2831,0.0964,0.0617,-0.1859,-0.0061,0.0882,-0.1036,-0.0167,0.0000,-0.0313,0.3286,0.3574,0.3784,0.3523,0.3792
2250000,916,273.4793,0.7413,37.9928,22.6833,0.3200,111.3118,0.0196,0.0317,-0.2004,0.7056,11.7202,0.3026,0.1491,0.0967,-0.1860,-0.0073,0.1096,-0.1236,-0.0165,0.0000,0.0037,0.3274,0.3559,0.3764,0.3558,0.3833
2500000,1165,214.3751,0.8781,43.9157,28.1204,0.3200,144.8001,0.0232,0.0331,-0.1371,0.6856,13.0784,0.3217,0.1845,0.1260,-0.1607,-0.0072,0.1185,-0.1355,-0.0152,0.0000,0.0456,0.3262,0.3560,0.3793,0.3550,0.3851
2750000,1290,193.8550,0.9271,35.2954,15.6805,0.3200,154.1674,0.0272,0.0400,-0.1527,0.6346,14.5609,0.1172,0.2203,0.1532,-0.1221,-0.0083,0.1205,-0.1402,-0.0181,0.0000,0.0921,0.3244,0.3530,0.3760,0.3523,0.3853
3000000,973,256.5704,0.7975,33.1992,15.9663,0.3200,139.0028,0.0295,0.0375,-0.1074,0.6175,12.5494,0.1411,0.2187,0.1448,-0.1238,-0.0067,0.1104,-0.1318,-0.0181,0.0000,0.0829,0.3254,0.3533,0.3795,0.3502,0.3880
3250000,727,344.1527,0.5805,30.6275,8.7598,0.3200,114.8300,0.0339,0.0354,-0.0134,0.6068,10.9130,0.1560,0.2175,0.1365,-0.1238,-0.0058,0.1098,-0.1207,-0.0166,0.0000,0.0746,0.3247,0.3494,0.3824,0.3497,0.3871
3500000,803,311.4707,0.6924,33.6893,17.5404,0.3200,114.3061,0.0413,0.0455,-0.0416,0.5989,11.6405,0.1432,0.2239,0.1517,-0.1349,-0.0061,0.1138,-0.1254,-0.0164,0.0000,0.0842,0.3239,0.3503,0.3824,0.3488,0.3888
3750000,705,354.4908,0.5418,32.0460,15.7567,0.3200,109.7889,0.0469,0.0509,-0.0383,0.5762,11.6283,0.1431,0.2214,0.1567,-0.1535,-0.0064,0.1192,-0.1253,-0.0155,0.0000,0.0799,0.3240,0.3495,0.3831,0.3473,0.3890
4000000,645,386.7597,0.4171,35.7565,17.1516,0.3700,106.7946,0.0479,0.0521,-0.0279,0.5671,11.4053,0.2016,0.2169,0.1552,-0.1510,-0.0065,0.1173,-0.1248,-0.0156,0.0000,0.0797,0.3239,0.3489,0.3897,0.3497,0.3871
4250000,633,395.4787,0.4171,33.5848,13.8870,0.4700,102.2506,0.0513,0.0544,-0.0232,0.5662,12.0884,0.1999,0.1351,0.1602,-0.1531,-0.0070,0.1187,-0.1269,-0.0158,0.0000,0.0836,0.3276,0.3487,0.3951,0.3510,0.3865
4500000,944,264.9915,0.8030,40.7071,13.6987,0.4700,136.8721,0.0728,0.0701,0.0287,0.5502,13.7799,0.2167,0.1600,0.2052,-0.1612,-0.0074,0.1286,-0.1421,-0.0151,0.0000,0.1246,0.3251,0.3463,0.4006,0.3519,0.3902
4750000,801,312.1998,0.7104,38.8806,10.0350,0.4700,135.3992,0.0959,0.0908,0.0366,0.5263,14.7591,0.1854,0.1728,0.2355,-0.1911,-0.0082,0.1421,-0.1512,-0.0154,0.0000,0.1400,0.3207,0.3436,0.4035,0.3514,0.3867
5000000,847,294.9044,0.7426,37.1951,11.6516,0.4700,136.2085,0.1067,0.0982,0.0482,0.5272,15.2459,0.1679,0.1807,0.2549,-0.1840,-0.0081,0.1477,-0.1543,-0.0147,0.0000,0.1629,0.3180,0.3439,0.4045,0.3512,0.3890
5250000,746,334.2828,0.6166,29.5967,1.7240,0.4700,124.8268,0.1039,0.0818,0.1018,0.5334,15.5515,0.0936,0.1631,0.2236,-0.2104,-0.0078,0.1441,-0.1471,-0.0145,0.0000,0.1184,0.3158,0.3464,0.4113,0.3434,0.3945
5500000,715,350.6685,0.5720,30.9614,8.9522,0.4700,114.8798,0.0944,0.0951,0.0002,0.5062,16.1333,0.0905,0.1644,0.2243,-0.1865,-0.0088,0.1421,-0.1449,-0.0153,0.0000,0.1311,0.3187,0.3389,0.4153,0.3406,0.3989
5750000,716,348.6047,0.5894,35.1363,10.5696,0.4700,128.0519,0.1196,0.1141,0.0245,0.4885,17.0682,0.0423,0.1791,0.2665,-0.2009,-0.0097,0.1525,-0.1553,-0.0156,0.0000,0.1660,0.3213,0.3343,0.4229,0.3459,0.3974
6000000,795,314.3283,0.6805,39.6922,16.5612,0.4700,134.1202,0.1062,0.1140,-0.0264,0.4967,18.1660,0.0960,0.1681,0.2457,-0.2148,-0.0106,0.1465,-0.1575,-0.0158,0.0000,0.1383,0.3191,0.3291,0.4261,0.3434,0.3986
