steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1520,164.1217,0.9092,20.2320,-5.1360,0.1200,92.6707,0.0201,0.0190,0.0267,0.6796,9.6058,0.2238,0.2807,0.0000,-0.2089,-0.0037,0.0638,-0.1282,-0.0136,-0.1223,-0.0410,0.3535,0.3594,0.3695,0.3620,0.3779
500000,709,351.6982,0.4810,34.1036,-10.7728,0.1200,102.3616,0.0201,0.0168,0.0901,0.6631,7.7868,0.5185,0.3707,0.0000,-0.1173,-0.0037,0.0519,-0.1048,-0.0148,-0.0514,0.0199,0.3523,0.3493,0.3754,0.3562,0.3779
750000,908,276.0341,0.6178,43.8413,-29.6614,0.2700,112.6238,0.0219,0.0146,0.1912,0.6742,6.8074,0.7099,0.2590,0.0000,-0.1207,-0.0035,0.0415,-0.1066,-0.0160,-0.0757,0.0309,0.3537,0.3432,0.3726,0.3585,0.3713
1000000,983,253.5086,0.7274,41.2616,-26.3546,0.2700,127.2493,0.0286,0.0175,0.2187,0.6860,7.8090,0.6738,0.2175,0.0000,-0.1164,-0.0038,0.0507,-0.1130,-0.0166,-0.0741,0.0504,0.3540,0.3361,0.3761,0.3612,0.3774
1250000,634,394.5994,0.3454,33.7938,-16.3228,0.4700,87.9026,0.0287,0.0158,0.2735,0.7034,8.8247,0.4649,0.0884,0.0000,-0.1387,-0.0044,0.0578,-0.1040,-0.0190,-0.0362,-0.0000,0.3541,0.3195,0.3749,0.3641,0.3757
1500000,1235,203.0745,0.8097,33.5586,-15.2613,0.4700,167.8155,0.0250,0.0217,0.0720,0.6490,9.9734,0.6370,0.0874,0.0000,-0.1316,-0.0052,0.0778,-0.1324,-0.0183,-0.0989,0.0683,0.3536,0.3186,0.3790,0.3572,0.3749
1750000,1282,195.0218,0.9236,30.4154,-14.2801,0.4700,156.2625,0.0370,0.0376,0.0005,0.6088,10.6523,0.6111,0.1454,0.0000,-0.1287,-0.0073,0.1145,-0.1474,-0.0188,-0.0895,0.1219,0.3542,0.3126,0.3755,0.3610,0.3746
2000000,1030,242.2602,0.8524,31.7149,-10.3856,0.4700,156.4663,0.0434,0.0500,-0.0707,0.5634,9.9888,0.5978,0.1664,0.0000,-0.1192,-0.0082,0.1237,-0.1498,-0.0192,-0.0763,0.1556,0.3540,0.3106,0.3778,0.3566,0.3784
2250000,749,333.3445,0.5688,29.6975,-4.6970,0.4700,137.1742,0.0459,0.0540,-0.0804,0.5012,8.9125,0.6090,0.1583,0.0000,-0.1316,-0.0088,0.1285,-0.1495,-0.0200,-0.0537,0.1433,0.3524,0.3104,0.3767,0.3564,0.3823
2500000,724,345.8812,0.5732,33.5793,0.9604,0.4700,141.3423,0.0517,0.0639,-0.1055,0.4674,8.5475,0.6821,0.1766,0.0000,-0.1363,-0.0087,0.1269,-0.1520,-0.0203,-0.0418,0.1625,0.3473,0.3099,0.3781,0.3621,0.3849
2750000,761,327.8252,0.6071,31.5563,-3.4418,0.4700,126.0286,0.0459,0.0563,-0.1030,0.5108,8.3881,0.6486,0.1732,0.0000,-0.1162,-0.0081,0.1234,-0.1496,-0.0195,-0.0478,0.1637,0.3492,0.3035,0.3803,0.3635,0.3934
