steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1647,151.6072,0.9484,20.3051,0.5318,0.1200,93.2219,0.0202,0.0214,-0.0223,0.6767,10.4314,0.2001,0.2788,0.0756,-0.1972,-0.0037,0.0648,0.0000,-0.0133,-0.1219,-0.0230,0.3603,0.3607,0.3699,0.3657,0.3727
500000,1079,230.7924,0.8054,28.4378,-7.2345,0.1200,102.0088,0.0213,0.0207,0.0134,0.6591,9.6411,0.3795,0.3146,0.0980,-0.1475,-0.0038,0.0585,0.0000,-0.0135,-0.0909,0.0243,0.3610,0.3617,0.3750,0.3640,0.3700
750000,770,324.6740,0.5519,29.6647,-3.7955,0.1200,96.5428,0.0201,0.0184,0.0441,0.6427,8.3476,0.4703,0.3590,0.0957,-0.1147,-0.0039,0.0583,0.0000,-0.0141,-0.0581,0.0384,0.3597,0.3624,0.3692,0.3696,0.3758
1000000,648,386.9923,0.3380,25.1631,1.9700,0.2200,76.5321,0.0194,0.0176,0.0489,0.6215,7.6454,0.4055,0.3280,0.0783,-0.1219,-0.0042,0.0628,0.0000,-0.0156,-0.0447,0.0174,0.3603,0.3588,0.3727,0.3726,0.3796
1250000,652,383.1288,0.3988,23.4078,5.0891,0.3200,82.8448,0.0215,0.0243,-0.0529,0.6237,8.7347,0.2946,0.1932,0.0801,-0.1468,-0.0050,0.0653,0.0000,-0.0164,-0.0417,0.0067,0.3687,0.3481,0.3870,0.3785,0.3765
1500000,680,367.7294,0.4735,21.7172,4.5238,0.3200,81.1326,0.0211,0.0332,-0.2150,0.6403,9.8423,0.2129,0.1235,0.0806,-0.1799,-0.0058,0.0739,0.0000,-0.0178,-0.0424,-0.0094,0.3656,0.3489,0.3815,0.3848,0.3845
1750000,687,363.6725,0.4061,21.0537,1.7738,0.3200,85.9440,0.0258,0.0297,-0.0739,0.6211,9.6547,0.2786,0.1332,0.0850,-0.1870,-0.0065,0.0830,0.0000,-0.0179,-0.0567,-0.0085,0.3698,0.3432,0.3822,0.3993,0.3923
2000000,700,356.9414,0.4486,22.8862,1.1213,0.3200,95.0271,0.0379,0.0353,0.0289,0.5884,10.0111,0.3365,0.1556,0.1090,-0.2044,-0.0081,0.0939,0.0000,-0.0186,-0.0576,0.0068,0.3719,0.3468,0.3857,0.3993,0.3898
2250000,684,366.0746,0.4532,23.6985,-0.6143,0.3200,90.3016,0.0450,0.0352,0.1078,0.5966,9.5450,0.4506,0.1688,0.1235,-0.1930,-0.0081,0.1020,0.0000,-0.0185,-0.0489,0.0270,0.3733,0.3501,0.3879,0.3956,0.3846
2500000,716,348.5168,0.5265,19.9602,3.3135,0.3200,96.1353,0.0382,0.0372,0.0138,0.5988,9.3958,0.5692,0.1591,0.1270,-0.2224,-0.0090,0.1114,0.0000,-0.0190,-0.0514,0.0158,0.3703,0.3488,0.3934,0.3973,0.3908
