steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1775,140.5831,0.9448,18.9151,-0.2423,0.1200,95.6535,0.0197,0.0205,-0.0153,0.6726,9.7582,0.2272,0.2607,0.0681,-0.2225,-0.0037,0.0672,-0.1325,0.0000,-0.1360,-0.0432,0.3553,0.3604,0.3827,0.3705,0.3724
500000,973,256.8448,0.7246,35.0697,-12.0665,0.1200,107.8373,0.0235,0.0201,0.0771,0.6684,7.8880,0.5402,0.3383,0.1115,-0.1178,-0.0036,0.0569,-0.1137,0.0000,-0.0819,0.0526,0.3531,0.3553,0.3902,0.3719,0.3740
750000,816,306.0797,0.6262,41.2706,-19.6735,0.1200,105.8881,0.0244,0.0196,0.1068,0.6562,7.7035,0.6168,0.3839,0.1165,-0.0890,-0.0038,0.0599,-0.1073,0.0000,-0.0580,0.0720,0.3546,0.3582,0.3939,0.3751,0.3803
1000000,741,337.1282,0.5816,39.8857,-12.8736,0.1700,108.6462,0.0289,0.0242,0.0861,0.6223,7.6726,0.6287,0.3474,0.1221,-0.0983,-0.0044,0.0738,-0.1116,0.0000,-0.0494,0.0729,0.3524,0.3571,0.3997,0.3779,0.3900
1250000,650,383.8815,0.4169,37.6160,-16.9653,0.1700,97.4240,0.0271,0.0228,0.0786,0.6164,6.8488,0.6600,0.3542,0.1119,-0.0967,-0.0045,0.0744,-0.1061,0.0000,-0.0381,0.0635,0.3526,0.3507,0.4063,0.3815,0.3934
1500000,660,379.9348,0.4273,34.9690,-11.8092,0.3200,96.4475,0.0385,0.0332,0.0758,0.6031,8.0216,0.6116,0.2797,0.1433,-0.0987,-0.0057,0.0918,-0.1178,0.0000,-0.0355,0.0940,0.3482,0.3492,0.4118,0.3788,0.3982
1750000,680,367.8426,0.4676,29.7704,-4.6184,0.3700,105.8818,0.0536,0.0456,0.0917,0.5697,8.6654,0.5876,0.1935,0.1631,-0.1434,-0.0079,0.1052,-0.1356,0.0000,-0.0441,0.0914,0.3435,0.3414,0.4178,0.3745,0.3979
2000000,650,384.4169,0.4492,35.6182,-6.5828,0.4200,112.8566,0.0804,0.0671,0.0947,0.5168,8.6947,0.5883,0.1934,0.2129,-0.1330,-0.0079,0.1174,-0.1432,0.0000,-0.0348,0.1464,0.3455,0.3340,0.4286,0.3807,0.4088
2250000,648,385.0370,0.4090,34.9820,-2.7851,0.4700,126.0247,0.0939,0.0817,0.0751,0.4924,9.8196,0.5407,0.1555,0.2129,-0.2045,-0.0089,0.1164,-0.1579,0.0000,-0.0360,0.1106,0.3483,0.3344,0.4348,0.3740,0.4042
2500000,646,386.8653,0.4025,33.8696,-2.6055,0.4700,111.8962,0.0708,0.0636,0.0659,0.5396,9.0984,0.4832,0.1181,0.1582,-0.2106,-0.0082,0.1029,-0.1474,0.0000,-0.0361,0.0529,0.3535,0.3374,0.4555,0.3697,0.4039
2750000,625,399.9616,0.3504,34.5960,-2.3907,0.4700,112.1771,0.0702,0.0617,0.0737,0.5141,9.1530,0.4623,0.1209,0.1593,-0.2154,-0.0092,0.1074,-0.1478,0.0000,-0.0354,0.0516,0.3534,0.3384,0.4596,0.3671,0.4032
3000000,693,361.7431,0.5267,34.9859,-6.0030,0.4700,123.8065,0.0776,0.0623,0.1152,0.5207,9.6687,0.5044,0.1475,0.1982,-0.1724,-0.0109,0.1227,-0.1524,0.0000,-0.0396,0.1120,0.3560,0.3440,0.4618,0.3652,0.4105
3250000,710,351.1000,0.5831,38.7620,-17.2221,0.4700,129.5185,0.0942,0.0736,0.1237,0.5110,10.1991,0.4740,0.1582,0.2162,-0.1723,-0.0100,0.1262,-0.1574,0.0000,-0.0369,0.1300,0.3576,0.3495,0.4608,0.3696,0.4108
3500000,768,326.6029,0.6523,38.5326,-14.9678,0.4700,138.7301,0.0906,0.0724,0.1132,0.5069,10.8295,0.4136,0.1810,0.2458,-0.1431,-0.0098,0.1292,-0.1600,0.0000,-0.0433,0.1742,0.3596,0.3483,0.4650,0.3723,0.4096
3750000,676,368.9926,0.5207,38.4062,-20.4095,0.4700,117.3072,0.0904,0.0686,0.1387,0.5135,10.4558,0.4284,0.1697,0.2180,-0.1579,-0.0100,0.1244,-0.1506,0.0000,-0.0337,0.1391,0.3599,0.3489,0.4672,0.3750,0.4115
4000000,655,382.2947,0.4763,37.6390,-23.2032,0.4700,116.8666,0.0897,0.0657,0.1551,0.5162,10.4053,0.4744,0.1493,0.1912,-0.1952,-0.0100,0.1161,-0.1483,0.0000,-0.0289,0.0936,0.3579,0.3544,0.4698,0.3818,0.4140
4250000,843,295.9810,0.7117,37.9262,-20.2217,0.4700,135.6792,0.0784,0.0650,0.0990,0.5242,10.4152,0.5291,0.1650,0.2201,-0.1749,-0.0098,0.1164,-0.1566,0.0000,-0.0537,0.1327,0.3590,0.3478,0.4806,0.3795,0.4191
4500000,888,282.2658,0.7365,43.2028,-28.4275,0.4700,140.8699,0.0846,0.0718,0.0799,0.5376,11.1698,0.5264,0.1802,0.2328,-0.1576,-0.0097,0.1167,-0.1588,0.0000,-0.0575,0.1541,0.3602,0.3507,0.4839,0.3841,0.4197
4750000,1025,243.7649,0.8380,44.9928,-27.1926,0.4700,166.7754,0.0993,0.0890,0.0575,0.5224,12.3334,0.5360,0.1986,0.2916,-0.1314,-0.0102,0.1307,-0.1721,0.0000,-0.0669,0.2259,0.3616,0.3480,0.4928,0.3857,0.4210
5000000,921,271.2628,0.8122,39.7722,-12.4720,0.4700,156.7875,0.1136,0.1143,0.0015,0.4826,12.7420,0.5636,0.1853,0.3246,-0.1515,-0.0119,0.1501,-0.1837,0.0000,-0.0561,0.2488,0.3615,0.3487,0.4984,0.3885,0.4255
5250000,682,366.3636,0.5411,35.9606,-6.4584,0.4700,127.9198,0.1067,0.1102,-0.0080,0.4747,12.0561,0.5580,0.1733,0.2754,-0.1719,-0.0121,0.1475,-0.1748,0.0000,-0.0338,0.1894,0.3572,0.3505,0.5001,0.3907,0.4304
5500000,615,405.4927,0.3886,36.2188,-3.7512,0.4700,122.0681,0.1053,0.1129,-0.0326,0.4627,11.4712,0.5889,0.1597,0.2448,-0.2230,-0.0124,0.1415,-0.1693,0.0000,-0.0237,0.1333,0.3615,0.3454,0.5098,0.3926,0.4217
5750000,572,438.4528,0.2552,36.0390,-17.4545,0.4700,108.9640,0.1025,0.0992,0.0189,0.4697,10.0692,0.6115,0.1576,0.2185,-0.1913,-0.0119,0.1377,-0.1577,0.0000,-0.0143,0.1229,0.3601,0.3413,0.5130,0.4018,0.4244
6000000,567,440.2998,0.2381,35.2603,-21.7164,0.4700,110.5969,0.1065,0.1046,0.0138,0.4600,9.6186,0.6695,0.1447,0.2107,-0.2203,-0.0123,0.1373,-0.1602,0.0000,-0.0168,0.1005,0.3607,0.3442,0.5241,0.4060,0.4274
