steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1561,159.7764,0.9193,19.5552,0.5010,0.1200,94.5479,0.0192,0.0193,-0.0013,0.6717,9.4748,0.2606,0.2779,0.0672,-0.2059,-0.0036,0.0000,-0.1274,-0.0132,-0.1232,-0.0357,0.3568,0.3544,0.3763,0.3577,0.3748
500000,1174,212.8663,0.8211,37.5492,-12.9235,0.1200,155.6575,0.0202,0.0193,0.0199,0.6547,9.3617,0.5246,0.3345,0.1201,-0.1134,-0.0036,0.0000,-0.1215,-0.0140,-0.0945,0.0634,0.3577,0.3543,0.3836,0.3596,0.3791
750000,718,347.9471,0.4373,32.0986,-11.9379,0.1700,107.7052,0.0154,0.0151,0.0094,0.6432,8.1188,0.4218,0.3676,0.0813,-0.1111,-0.0036,0.0000,-0.1022,-0.0156,-0.0558,0.0257,0.3520,0.3487,0.3859,0.3594,0.3789
1000000,727,343.9684,0.4402,31.0795,-16.3751,0.2200,86.5087,0.0170,0.0164,0.0140,0.6549,7.9576,0.4035,0.2737,0.0827,-0.1213,-0.0037,0.0000,-0.1030,-0.0169,-0.0575,0.0221,0.3517,0.3411,0.3849,0.3573,0.3819
1250000,840,297.0464,0.6500,31.4547,-11.3544,0.2700,127.5499,0.0267,0.0217,0.1005,0.6966,10.2164,0.2790,0.2464,0.1201,-0.1118,-0.0039,0.0000,-0.1154,-0.0173,-0.0632,0.0643,0.3491,0.3357,0.3917,0.3654,0.3818
1500000,1031,242.7284,0.8632,38.4870,-20.6202,0.2700,137.5057,0.0425,0.0348,0.0825,0.7199,12.1560,0.1977,0.2635,0.1599,-0.1127,-0.0042,0.0000,-0.1340,-0.0168,-0.0654,0.1035,0.3450,0.3298,0.3932,0.3602,0.3880
1750000,758,330.3298,0.5976,35.5096,-22.0633,0.2700,105.6905,0.0399,0.0288,0.1473,0.7078,11.0536,0.1297,0.2457,0.1299,-0.1116,-0.0045,0.0000,-0.1166,-0.0183,-0.0440,0.0741,0.3415,0.3298,0.3935,0.3569,0.3969
2000000,615,405.9642,0.3317,35.6950,-20.8688,0.4700,87.1600,0.0295,0.0234,0.0988,0.6897,9.8211,0.1669,0.1460,0.0985,-0.1177,-0.0048,0.0000,-0.1060,-0.0193,-0.0283,0.0397,0.3425,0.3274,0.3945,0.3568,0.4071
2250000,1353,185.2912,0.9409,43.8398,-26.6986,0.4700,178.2019,0.0574,0.0473,0.0688,0.6645,12.9009,0.3062,0.1486,0.2097,-0.1232,-0.0062,0.0000,-0.1486,-0.0183,-0.0902,0.1481,0.3399,0.3278,0.3945,0.3577,0.4086
2500000,1593,156.8054,0.9586,47.5958,-24.0468,0.4700,209.0823,0.0746,0.0644,0.0347,0.6444,14.8311,0.2971,0.1771,0.2668,-0.1057,-0.0075,0.0000,-0.1655,-0.0184,-0.1005,0.2140,0.3394,0.3241,0.4020,0.3567,0.4095
2750000,837,298.1207,0.6679,35.0506,-15.8436,0.4700,130.7650,0.0635,0.0576,0.0131,0.6391,12.6932,0.1368,0.1427,0.1857,-0.1388,-0.0079,0.0000,-0.1433,-0.0175,-0.0597,0.1163,0.3305,0.3247,0.4086,0.3631,0.4094
3000000,1276,196.0745,0.9091,42.5966,-14.4737,0.4700,189.4076,0.0916,0.0859,0.0239,0.6332,13.9389,0.3111,0.1805,0.3052,-0.1181,-0.0083,0.0000,-0.1759,-0.0178,-0.0844,0.2461,0.3349,0.3285,0.4108,0.3668,0.4138
3250000,1338,186.8999,0.9193,39.7398,-16.1249,0.4700,165.2645,0.0762,0.0785,-0.0260,0.6347,14.6367,0.2798,0.1677,0.2561,-0.1201,-0.0087,0.0000,-0.1614,-0.0205,-0.0898,0.1961,0.3366,0.3293,0.4083,0.3712,0.4147
3500000,723,345.2019,0.5491,37.6192,-17.6454,0.4700,120.1320,0.0699,0.0564,0.0782,0.6204,11.7588,0.1882,0.1597,0.1955,-0.1272,-0.0088,0.0000,-0.1456,-0.0241,-0.0435,0.1319,0.3252,0.3258,0.4107,0.3787,0.4121
3750000,762,328.6076,0.6129,33.3275,-15.7382,0.4700,123.2801,0.0883,0.0702,0.0860,0.5944,14.1328,0.0065,0.1777,0.2150,-0.1424,-0.0093,0.0000,-0.1501,-0.0212,-0.0456,0.1438,0.3263,0.3192,0.4117,0.3753,0.4111
4000000,691,361.5977,0.5586,34.4582,-13.5136,0.4700,132.3944,0.1112,0.0881,0.1112,0.5631,13.9597,0.0628,0.2000,0.2582,-0.1534,-0.0094,0.0000,-0.1621,-0.0197,-0.0342,0.1815,0.3276,0.3125,0.4187,0.3720,0.4184
4250000,774,323.0207,0.6615,37.2332,-14.1780,0.4700,136.2643,0.1221,0.1026,0.0648,0.5422,14.0687,0.1436,0.1936,0.2572,-0.1689,-0.0094,0.0000,-0.1611,-0.0194,-0.0457,0.1728,0.3279,0.3119,0.4211,0.3753,0.4218
4500000,768,325.5208,0.6615,39.4620,-19.4523,0.4700,128.4367,0.1137,0.0864,0.1155,0.5492,13.3323,0.1836,0.1890,0.2307,-0.1603,-0.0091,0.0000,-0.1501,-0.0196,-0.0564,0.1505,0.3247,0.3094,0.4266,0.3764,0.4177
4750000,675,370.2044,0.5067,33.3495,-14.7171,0.4700,116.5303,0.0904,0.0700,0.1194,0.5861,11.6584,0.2684,0.1736,0.2086,-0.1469,-0.0082,0.0000,-0.1417,-0.0206,-0.0304,0.1352,0.3231,0.3123,0.4213,0.3823,0.4171
5000000,841,297.4483,0.7301,29.9493,-6.4376,0.4700,123.6442,0.0849,0.0757,0.0531,0.6138,12.5265,0.2843,0.1818,0.2284,-0.1382,-0.0085,0.0000,-0.1542,-0.0212,-0.0511,0.1593,0.3272,0.3060,0.4238,0.3901,0.4202
5250000,704,354.5582,0.5440,27.4960,-5.3090,0.4700,113.2865,0.1109,0.1038,0.0369,0.5376,12.1241,0.3168,0.1765,0.2455,-0.1658,-0.0095,0.0000,-0.1567,-0.0212,-0.0393,0.1626,0.3265,0.2997,0.4227,0.3924,0.4217
5500000,630,396.3984,0.3921,28.5210,-1.5383,0.4700,107.9693,0.1125,0.1047,0.0388,0.5171,11.0304,0.3228,0.1819,0.2442,-0.1762,-0.0093,0.0000,-0.1545,-0.0206,-0.0327,0.1561,0.3206,0.2910,0.4268,0.4049,0.4173
5750000,643,390.1851,0.4199,29.3561,-1.5768,0.4700,111.7374,0.1030,0.0933,0.0467,0.5474,11.8477,0.2193,0.1524,0.1982,-0.2044,-0.0091,0.0000,-0.1513,-0.0195,-0.0304,0.0960,0.3285,0.2932,0.4352,0.4071,0.4252
6000000,651,383.9293,0.4578,30.8816,-3.8670,0.4700,108.9715,0.0960,0.0780,0.1014,0.5662,11.8336,0.2030,0.1647,0.2018,-0.1640,-0.0087,0.0000,-0.1474,-0.0194,-0.0301,0.1198,0.3267,0.2947,0.4376,0.4061,0.4401
