steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,3301,75.6798,0.9997,21.5100,-8.5813,0.1200,109.9010,0.0329,0.0246,0.1073,0.6831,12.2966,0.1933,0.0000,0.1257,-0.2089,-0.0042,0.0757,-0.1484,-0.0133,-0.1754,0.0213,0.3585,0.3576,0.3785,0.3733,0.3727
500000,3792,65.9214,1.0000,50.7275,-41.1349,0.1200,211.3480,0.1318,0.0723,0.1512,0.6577,23.4533,0.1259,0.0000,0.3222,-0.1049,-0.0069,0.1022,-0.1917,-0.0122,-0.1690,0.2697,0.3549,0.3545,0.3804,0.3728,0.3729
750000,3269,76.4943,1.0000,47.7487,-35.3982,0.1200,224.3647,0.1466,0.0860,0.1684,0.6299,23.8671,0.1600,0.0000,0.3272,-0.0889,-0.0086,0.1168,-0.1819,-0.0126,-0.1472,0.2828,0.3516,0.3534,0.3826,0.3698,0.3754
1000000,2719,91.8889,0.9996,42.5572,-20.9246,0.1200,230.8355,0.1368,0.0930,0.1545,0.6178,24.7306,0.1137,0.0000,0.3712,-0.0889,-0.0098,0.1192,-0.1861,-0.0131,-0.1285,0.3268,0.3504,0.3509,0.3880,0.3711,0.3754
1250000,2195,113.9166,0.9991,44.3226,-22.0600,0.1200,212.1395,0.1264,0.0967,0.1024,0.6378,23.2304,0.2737,0.0000,0.3270,-0.1004,-0.0090,0.1185,-0.1809,-0.0129,-0.1089,0.2768,0.3490,0.3510,0.3868,0.3710,0.3746
1500000,1682,148.5071,0.9899,48.1188,-20.8341,0.1200,234.8096,0.1113,0.0884,0.0836,0.6347,19.2840,0.4993,0.0000,0.3027,-0.1198,-0.0079,0.1127,-0.1819,-0.0119,-0.0964,0.2428,0.3521,0.3501,0.3897,0.3705,0.3823
1750000,1312,190.4695,0.9520,41.2474,-19.0465,0.1200,182.2873,0.0979,0.0835,0.0661,0.6212,19.1610,0.4039,0.0000,0.2614,-0.1256,-0.0083,0.1202,-0.1729,-0.0130,-0.0808,0.1986,0.3525,0.3479,0.3926,0.3696,0.3862
2000000,1111,225.0855,0.8956,42.2863,-23.0761,0.1200,161.6450,0.1079,0.0858,0.1034,0.6090,17.8375,0.4531,0.0000,0.2507,-0.1405,-0.0088,0.1247,-0.1718,-0.0133,-0.0740,0.1805,0.3555,0.3415,0.4001,0.3645,0.3882
2250000,876,284.8402,0.7432,38.0140,-15.4983,0.1200,152.3076,0.0914,0.0816,0.0335,0.5587,16.5305,0.4329,0.0000,0.2169,-0.1676,-0.0095,0.1248,-0.1699,-0.0144,-0.0612,0.1331,0.3579,0.3335,0.4057,0.3689,0.3919
2500000,727,344.3590,0.5805,39.2830,-16.0861,0.1200,141.0610,0.0924,0.0836,0.0266,0.5551,15.6031,0.4038,0.0000,0.1965,-0.1805,-0.0097,0.1178,-0.1686,-0.0143,-0.0419,0.1063,0.3628,0.3345,0.4091,0.3698,0.3916
2750000,671,372.7168,0.4858,41.1771,-20.8070,0.2700,125.6488,0.0913,0.0773,0.0605,0.5568,14.0628,0.4009,0.0000,0.1862,-0.1676,-0.0091,0.1122,-0.1557,-0.0149,-0.0362,0.1024,0.3582,0.3343,0.4014,0.3725,0.3895
3000000,699,357.1202,0.5565,36.8589,-5.9631,0.2700,138.1592,0.1079,0.0986,0.0467,0.5002,15.5121,0.3689,0.0000,0.2526,-0.1978,-0.0109,0.1259,-0.1780,-0.0155,-0.0398,0.1537,0.3577,0.3396,0.4032,0.3784,0.3920
3250000,747,334.7510,0.6854,37.8098,-16.1121,0.3700,149.8643,0.1189,0.1073,0.0531,0.4909,15.0429,0.5058,0.0000,0.3397,-0.0975,-0.0109,0.1515,-0.1849,-0.0149,-0.0375,0.2910,0.3592,0.3360,0.4057,0.3816,0.3941
