steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,3168,78.8797,0.9997,17.1219,0.6792,11.4096,0.1829,0.0610,0.0997,-0.2172,-0.0040,0.0790,-0.1421,-0.0133,-0.1688,-0.0089,0.3573,0.3617,0.3677,0.3683,0.3687
500000,3404,73.3807,1.0000,28.4705,0.6814,14.7966,0.3152,0.1257,0.2314,-0.1552,-0.0049,0.0825,-0.1714,-0.0136,-0.1635,0.1538,0.3581,0.3591,0.3668,0.3726,0.3700
750000,1797,138.6561,0.9872,28.9163,0.6825,15.2273,0.1436,0.1321,0.1985,-0.1530,-0.0053,0.0893,-0.1623,-0.0143,-0.1029,0.1220,0.3571,0.3547,0.3675,0.3703,0.3702
1000000,1207,206.8799,0.9279,25.3894,0.6839,13.4974,0.1745,0.1160,0.1620,-0.1744,-0.0055,0.0919,-0.1521,-0.0149,-0.0783,0.0748,0.3573,0.3506,0.3695,0.3726,0.3659
1250000,1258,199.2846,0.9316,32.2311,0.6454,13.1088,0.1923,0.1357,0.1937,-0.1609,-0.0056,0.0952,-0.1559,-0.0149,-0.0778,0.1132,0.3572,0.3511,0.3728,0.3732,0.3644
1500000,1473,169.7556,0.9681,37.6369,0.6058,14.3739,0.1393,0.1626,0.2466,-0.1351,-0.0061,0.1012,-0.1678,-0.0148,-0.0878,0.1791,0.3530,0.3514,0.3735,0.3697,0.3690
1750000,1363,183.5165,0.9692,32.2646,0.5776,14.8805,0.1942,0.1603,0.2581,-0.1545,-0.0071,0.1148,-0.1736,-0.0153,-0.0816,0.1809,0.3460,0.3462,0.3769,0.3707,0.3691
2000000,1018,244.7770,0.8458,30.4088,0.5684,14.3671,0.1230,0.1447,0.2164,-0.1880,-0.0071,0.1097,-0.1642,-0.0156,-0.0689,0.1224,0.3442,0.3404,0.3775,0.3644,0.3733
2250000,1024,244.3594,0.8828,30.4998,0.5679,15.3188,0.0166,0.1527,0.2253,-0.1775,-0.0069,0.1126,-0.1620,-0.0161,-0.0622,0.1366,0.3461,0.3409,0.3751,0.3652,0.3773
2500000,1087,229.8675,0.9144,33.7902,0.5592,14.5214,0.1086,0.1700,0.2582,-0.1504,-0.0066,0.1126,-0.1636,-0.0158,-0.0632,0.1830,0.3447,0.3374,0.3760,0.3629,0.3780
2750000,932,267.8036,0.8036,34.8862,0.5526,14.3816,0.1366,0.1805,0.2541,-0.1451,-0.0066,0.1130,-0.1636,-0.0163,-0.0563,0.1815,0.3446,0.3357,0.3769,0.3621,0.3763
3000000,820,304.3171,0.7146,33.4916,0.5450,14.4602,0.1314,0.1694,0.2322,-0.1671,-0.0066,0.1125,-0.1619,-0.0167,-0.0493,0.1486,0.3448,0.3284,0.3813,0.3615,0.3753
