steps,ep_len,fall_rate,vx,hip_diff_rms_deg,hip_corr,torso_roll_rms_deg
250000,131,0.96,-0.032,9.9,+0.24,19.9
500000,187,0.87,0.050,8.6,+0.54,32.3
750000,342,0.53,0.032,8.1,+0.43,29.7
1000000,387,0.40,0.046,8.6,+0.32,31.7
1250000,348,0.53,0.057,10.1,+0.19,29.4
1500000,338,0.57,0.060,10.2,+0.23,30.9
1750000,364,0.43,0.022,9.4,+0.24,29.9
2000000,343,0.56,0.069,10.4,+0.17,34.0
2250000,309,0.67,0.081,11.4,+0.27,39.2
2500000,377,0.47,0.081,11.1,+0.23,32.0
2750000,400,0.38,0.068,10.4,+0.16,26.9
3000000,427,0.26,0.061,9.2,+0.31,27.7
3250000,398,0.42,0.025,10.1,+0.29,33.6
3500000,376,0.51,0.042,10.4,+0.24,32.3
3750000,398,0.38,0.016,9.6,+0.26,28.5
4000000,435,0.22,0.039,8.3,+0.46,24.1
4250000,398,0.32,0.079,9.0,+0.53,28.8
4500000,406,0.30,0.103,9.1,+0.46,26.4
4750000,375,0.49,0.146,10.6,+0.41,31.2
5000000,431,0.28,0.101,9.1,+0.38,19.0
5250000,410,0.36,0.135,8.8,+0.53,22.7
5500000,325,0.65,0.179,9.9,+0.49,30.4
5750000,287,0.78,0.193,9.9,+0.56,37.5
6000000,433,0.28,0.098,8.2,+0.58,30.1
