steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,616,403.8231,0.3994,29.3541,0.5567,11.3319,0.2220,0.2362,0.1747,-0.1558,-0.0058,0.1001,-0.1384,-0.0172,-0.0241,0.0969,0.3444,0.3250,0.3831,0.3598,0.3795
500000,628,396.4984,0.4092,33.2019,0.5524,11.3820,0.2669,0.1999,0.1882,-0.1421,-0.0060,0.1023,-0.1380,-0.0171,-0.0276,0.1171,0.3439,0.3227,0.3887,0.3557,0.3804
750000,612,408.3676,0.3938,33.3184,0.5225,11.8910,0.2998,0.1891,0.2034,-0.1498,-0.0066,0.1127,-0.1429,-0.0165,-0.0261,0.1285,0.3425,0.3228,0.3925,0.3544,0.3823
1000000,652,384.8405,0.4586,34.5881,0.5076,12.7347,0.2647,0.1805,0.2306,-0.1478,-0.0067,0.1157,-0.1499,-0.0159,-0.0272,0.1567,0.3439,0.3182,0.3916,0.3578,0.3791
1250000,661,377.2163,0.5023,33.4475,0.4947,13.8157,0.2120,0.1829,0.2415,-0.1521,-0.0070,0.1234,-0.1514,-0.0162,-0.0290,0.1655,0.3448,0.3189,0.3938,0.3585,0.3800
1500000,679,368.2577,0.5390,34.5981,0.4710,14.1070,0.2594,0.1927,0.2784,-0.1450,-0.0073,0.1303,-0.1615,-0.0169,-0.0319,0.2059,0.3492,0.3099,0.4002,0.3542,0.3862
1750000,635,394.0362,0.4268,34.1490,0.4699,13.6452,0.2413,0.1787,0.2523,-0.1764,-0.0071,0.1261,-0.1590,-0.0188,-0.0296,0.1641,0.3416,0.3049,0.4040,0.3498,0.3902
2000000,619,403.0081,0.3958,36.5525,0.4717,13.5362,0.2150,0.1747,0.2318,-0.1883,-0.0071,0.1206,-0.1548,-0.0186,-0.0266,0.1377,0.3374,0.3007,0.4134,0.3494,0.3896
2250000,609,412.1511,0.3612,35.8472,0.4635,13.4002,0.2201,0.1702,0.2278,-0.2026,-0.0074,0.1206,-0.1525,-0.0194,-0.0225,0.1265,0.3308,0.2980,0.4192,0.3477,0.3943
2500000,610,408.5541,0.3689,37.1826,0.4638,12.8481,0.2904,0.1845,0.2446,-0.1816,-0.0075,0.1243,-0.1525,-0.0199,-0.0233,0.1539,0.3362,0.2927,0.4251,0.3526,0.3986
2750000,617,405.9319,0.4133,37.2522,0.4595,13.5669,0.2686,0.1916,0.2587,-0.1626,-0.0079,0.1324,-0.1515,-0.0207,-0.0228,0.1774,0.3317,0.2900,0.4177,0.3502,0.4058
3000000,602,416.1429,0.3439,38.1145,0.4536,14.1631,0.1442,0.1769,0.2392,-0.2018,-0.0076,0.1277,-0.1499,-0.0202,-0.0207,0.1383,0.3250,0.2895,0.4121,0.3476,0.4058
