steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_straight,r_dutybal,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1579,156.9341,0.8854,14.5431,-0.9120,0.1200,83.7699,0.0059,0.0065,-0.0502,0.6571,10.0110,0.1114,0.2906,0.0431,-0.1686,-0.0840,0.0000,0.0000,-0.0131,-0.1651,0.0000,-0.0066,-0.1258,-0.0412,0.3440,0.3435,0.3700,0.3415,0.3672
500000,757,330.5931,0.5495,31.7999,-3.1239,0.1200,84.6123,0.0079,0.0087,-0.0571,0.6186,8.2771,0.5119,0.4208,0.0991,-0.0751,-0.0862,0.0000,0.0000,-0.0132,-0.1525,0.0000,-0.0043,-0.0558,0.0616,0.3335,0.3274,0.3745,0.3341,0.3665
750000,671,373.4337,0.3979,32.8143,-6.8012,0.2700,79.3612,0.0078,0.0088,-0.0750,0.6173,7.8357,0.5180,0.3395,0.0932,-0.0724,-0.0845,0.0000,0.0000,-0.0135,-0.1487,0.0000,-0.0048,-0.0461,0.0570,0.3252,0.3191,0.3753,0.3246,0.3661
1000000,788,317.7754,0.6624,31.1485,-2.6968,0.2700,87.8446,0.0098,0.0124,-0.1141,0.6386,11.4891,0.3474,0.3040,0.1384,-0.0732,-0.0893,0.0000,0.0000,-0.0128,-0.1466,0.0000,-0.0028,-0.0467,0.1018,0.3203,0.3122,0.3740,0.3181,0.3606
1250000,644,386.1025,0.4193,26.6406,2.4563,0.2700,80.6912,0.0106,0.0135,-0.1140,0.6555,10.9744,0.2196,0.2842,0.1253,-0.0932,-0.0898,0.0000,0.0000,-0.0125,-0.1440,0.0000,-0.0031,-0.0365,0.0787,0.3061,0.3035,0.3741,0.3085,0.3605
1500000,661,378.7806,0.4418,27.4689,10.8354,0.3200,78.2435,0.0110,0.0141,-0.1248,0.6679,12.2537,0.0924,0.2791,0.1323,-0.1019,-0.0897,0.0000,0.0000,-0.0126,-0.1361,0.0000,-0.0042,-0.0327,0.0813,0.2979,0.2899,0.3759,0.2978,0.3559
1750000,724,346.7942,0.5732,31.0028,7.0559,0.3200,88.7430,0.0129,0.0149,-0.0837,0.6659,13.6886,0.0507,0.2847,0.1709,-0.0953,-0.0942,0.0000,0.0000,-0.0121,-0.1333,0.0000,-0.0073,-0.0420,0.1233,0.2915,0.2830,0.3746,0.2924,0.3586
2000000,678,367.8525,0.5044,30.1828,10.3879,0.3700,86.9484,0.0143,0.0171,-0.0931,0.6635,14.7314,-0.1095,0.2727,0.1889,-0.0971,-0.0971,0.0000,0.0000,-0.0126,-0.1371,0.0000,-0.0054,-0.0387,0.1404,0.2843,0.2779,0.3748,0.2851,0.3549
2250000,754,331.3302,0.6459,30.9532,10.9134,0.3700,91.8896,0.0153,0.0180,-0.0880,0.6408,14.6537,-0.0894,0.2910,0.2199,-0.0872,-0.0980,0.0000,0.0000,-0.0124,-0.1360,0.0000,-0.0045,-0.0474,0.1763,0.2770,0.2758,0.3812,0.2814,0.3541
2500000,660,379.0697,0.4606,29.2647,3.4690,0.3700,86.9996,0.0178,0.0210,-0.0930,0.6390,15.3264,-0.1715,0.2877,0.2240,-0.0981,-0.1016,0.0000,0.0000,-0.0130,-0.1428,0.0000,-0.0039,-0.0375,0.1750,0.2705,0.2654,0.3834,0.2737,0.3599
2750000,711,351.3572,0.5612,29.4569,-5.6566,0.3700,99.2629,0.0180,0.0219,-0.1011,0.6336,15.3172,-0.1725,0.2964,0.2309,-0.0984,-0.1029,0.0000,0.0000,-0.0129,-0.1420,0.0000,-0.0044,-0.0440,0.1818,0.2654,0.2579,0.3865,0.2703,0.3604
3000000,667,374.4078,0.4738,29.6387,-1.4861,0.4200,94.8672,0.0170,0.0214,-0.1114,0.6393,15.1827,-0.1289,0.3029,0.2377,-0.0813,-0.1018,0.0000,0.0000,-0.0123,-0.1296,0.0000,-0.0031,-0.0381,0.1971,0.2579,0.2495,0.3785,0.2658,0.3577
