steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_straight,r_dutybal,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,642,386.4174,0.3769,18.2625,4.6892,0.7000,98.7226,0.0332,0.0354,-0.0526,0.5998,18.3484,-0.4839,0.1328,0.3450,-0.0311,0.0000,0.0000,0.0000,-0.0100,-0.1801,0.0000,-0.0026,-0.0478,0.3295,0.2377,0.2405,0.3765,0.2495,0.3900
500000,659,380.7314,0.4052,18.0462,-0.0950,0.7000,99.7654,0.0326,0.0372,-0.0816,0.5896,18.7390,-0.4941,0.1450,0.3589,-0.0275,0.0000,0.0000,0.0000,-0.0092,-0.1764,0.0000,-0.0026,-0.0476,0.3452,0.2246,0.2316,0.3801,0.2426,0.3884
750000,631,394.6260,0.3803,18.6197,-4.8855,0.7000,99.9091,0.0323,0.0402,-0.1131,0.5928,19.3020,-0.5091,0.1447,0.3698,-0.0230,0.0000,0.0000,0.0000,-0.0086,-0.1628,0.0000,-0.0019,-0.0415,0.3583,0.2175,0.2252,0.3850,0.2352,0.3872
1000000,661,378.0484,0.4266,19.6528,-10.4971,0.7000,96.6781,0.0278,0.0391,-0.1643,0.5841,19.5889,-0.5155,0.1604,0.3617,-0.0267,0.0000,0.0000,0.0000,-0.0082,-0.1506,0.0000,-0.0022,-0.0464,0.3484,0.2096,0.2204,0.3891,0.2289,0.3857
1250000,652,383.9571,0.3911,19.7678,-9.4394,0.7000,98.6231,0.0286,0.0440,-0.1992,0.5772,20.1180,-0.5251,0.2003,0.3894,-0.0249,0.0000,0.0000,0.0000,-0.0079,-0.1501,0.0000,-0.0023,-0.0439,0.3769,0.2044,0.2137,0.3896,0.2251,0.3856
1500000,624,400.4615,0.3397,18.9036,-6.2901,0.7000,103.0401,0.0269,0.0511,-0.2812,0.5786,20.5103,-0.5492,0.2392,0.4063,-0.0218,0.0000,0.0000,0.0000,-0.0075,-0.1487,0.0000,-0.0019,-0.0403,0.3954,0.1994,0.2102,0.3933,0.2202,0.3829
1750000,631,396.7401,0.3439,19.2314,-9.8078,0.7000,104.9581,0.0292,0.0525,-0.2572,0.5813,20.7502,-0.5829,0.2600,0.4183,-0.0232,0.0000,0.0000,0.0000,-0.0072,-0.1490,0.0000,-0.0024,-0.0426,0.4068,0.1955,0.2072,0.3922,0.2171,0.3826
2000000,644,387.3820,0.3354,19.6023,-3.6425,0.7000,103.2476,0.0306,0.0534,-0.2463,0.5627,20.5700,-0.5776,0.2500,0.4004,-0.0272,0.0000,0.0000,0.0000,-0.0071,-0.1495,0.0000,-0.0036,-0.0509,0.3868,0.1912,0.2006,0.3868,0.2134,0.3790
2250000,624,401.1042,0.2965,20.7487,-6.4871,0.7000,102.9268,0.0350,0.0605,-0.2473,0.5631,20.8484,-0.5996,0.2828,0.4272,-0.0250,0.0000,0.0000,0.0000,-0.0071,-0.1533,0.0000,-0.0040,-0.0459,0.4147,0.1897,0.1936,0.3919,0.2087,0.3761
2500000,595,419.1899,0.2303,19.5359,-4.3220,0.7000,106.5228,0.0381,0.0621,-0.2300,0.5638,20.9732,-0.6403,0.2918,0.4390,-0.0207,0.0000,0.0000,0.0000,-0.0070,-0.1510,0.0000,-0.0024,-0.0354,0.4287,0.1848,0.1888,0.3924,0.2062,0.3736
2750000,617,405.9935,0.2788,19.4255,-5.1700,0.7000,111.4996,0.0414,0.0617,-0.1860,0.5540,20.6865,-0.6444,0.3016,0.4425,-0.0210,0.0000,0.0000,0.0000,-0.0069,-0.1532,0.0000,-0.0026,-0.0419,0.4320,0.1812,0.1859,0.3947,0.1997,0.3710
3000000,585,426.6735,0.1897,18.9111,-0.1246,0.7000,109.5679,0.0366,0.0701,-0.2887,0.5672,20.0443,-0.6498,0.2715,0.4271,-0.0220,0.0000,0.0000,0.0000,-0.0066,-0.1484,0.0000,-0.0021,-0.0369,0.4161,0.1759,0.1776,0.3985,0.1933,0.3738
