steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_straight,r_dutybal,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1573,157.8735,0.8551,10.7496,1.8372,0.1200,65.6032,0.0017,0.0018,-0.0121,0.3426,8.4865,0.1676,0.3167,0.0257,-0.1070,0.0000,0.0000,0.0000,-0.0131,-0.1659,0.0000,-0.0108,-0.1260,-0.0278,0.3429,0.3435,0.3648,0.3466,0.3643
500000,713,349.9846,0.4488,26.1666,5.0711,0.1200,71.3476,0.0024,0.0028,-0.0746,0.3500,9.4186,0.4228,0.4539,0.0551,-0.0526,0.0000,0.0000,0.0000,-0.0119,-0.1485,0.0000,-0.0213,-0.0572,0.0289,0.3270,0.3338,0.3662,0.3359,0.3664
750000,687,364.0306,0.4440,25.2726,0.3773,0.2200,72.9474,0.0033,0.0032,0.0028,0.3947,10.0949,0.3177,0.4385,0.0587,-0.0501,0.0000,0.0000,0.0000,-0.0115,-0.1485,0.0000,-0.0056,-0.0514,0.0337,0.3160,0.3285,0.3665,0.3292,0.3651
1000000,751,334.2144,0.5646,24.3789,-0.7283,0.2700,84.7956,0.0053,0.0049,0.0139,0.4909,12.7270,0.0849,0.2488,0.0877,-0.0470,0.0000,0.0000,0.0000,-0.0112,-0.1536,0.0000,-0.0045,-0.0538,0.0642,0.3113,0.3169,0.3711,0.3165,0.3637
1250000,692,361.1922,0.4754,24.0270,9.7345,0.2700,81.9275,0.0080,0.0076,0.0104,0.5869,13.8345,-0.0926,0.2854,0.1158,-0.0630,0.0000,0.0000,0.0000,-0.0114,-0.1583,0.0000,-0.0031,-0.0495,0.0844,0.3030,0.3051,0.3725,0.3093,0.3619
1500000,668,373.1602,0.4251,25.1711,13.6207,0.3700,76.9731,0.0096,0.0108,-0.0630,0.6163,14.5092,-0.1413,0.2660,0.1423,-0.0604,0.0000,0.0000,0.0000,-0.0112,-0.1648,0.0000,-0.0027,-0.0477,0.1121,0.2949,0.2952,0.3727,0.3015,0.3638
1750000,645,387.4357,0.4155,24.8592,13.8161,0.4200,86.2624,0.0126,0.0173,-0.1467,0.6501,16.4760,-0.2712,0.2591,0.1959,-0.0481,0.0000,0.0000,0.0000,-0.0112,-0.1742,0.0000,-0.0026,-0.0434,0.1719,0.2885,0.2888,0.3726,0.2967,0.3670
2000000,658,380.8769,0.4255,25.5866,14.8842,0.4700,87.5768,0.0164,0.0207,-0.1043,0.6581,16.6455,-0.2784,0.2906,0.2589,-0.0300,0.0000,0.0000,0.0000,-0.0112,-0.1807,0.0000,-0.0023,-0.0424,0.2439,0.2817,0.2813,0.3751,0.2932,0.3724
2250000,612,406.9461,0.3301,22.7931,11.8573,0.6200,91.7736,0.0222,0.0243,-0.0487,0.6563,17.0126,-0.3572,0.2699,0.3022,-0.0265,0.0000,0.0000,0.0000,-0.0110,-0.1863,0.0000,-0.0022,-0.0346,0.2889,0.2735,0.2742,0.3767,0.2897,0.3750
2500000,663,377.2474,0.4268,21.0474,6.2050,0.6200,105.6378,0.0299,0.0262,0.0283,0.6067,17.9902,-0.4116,0.2047,0.3269,-0.0318,0.0000,0.0000,0.0000,-0.0109,-0.1955,0.0000,-0.0023,-0.0460,0.3111,0.2654,0.2682,0.3746,0.2847,0.3774
2750000,619,404.4378,0.3118,17.5829,3.3669,0.7000,101.2416,0.0369,0.0291,0.0777,0.6088,18.7387,-0.5079,0.1888,0.3532,-0.0326,0.0000,0.0000,0.0000,-0.0107,-0.1986,0.0000,-0.0018,-0.0408,0.3369,0.2603,0.2587,0.3682,0.2754,0.3791
3000000,670,373.5985,0.4104,16.8715,-0.2151,0.7000,100.3613,0.0387,0.0279,0.1008,0.5822,18.7096,-0.4572,0.1508,0.3381,-0.0379,0.0000,0.0000,0.0000,-0.0102,-0.1902,0.0000,-0.0023,-0.0543,0.3192,0.2502,0.2527,0.3641,0.2655,0.3834
