steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1374,180.6783,0.8253,14.1160,-0.6537,0.1700,84.7892,0.0071,0.0083,-0.0768,0.6422,9.9948,0.1112,0.2899,0.0445,-0.1723,-0.0096,0.0000,0.0000,-0.0133,-0.1666,-0.1178,-0.0416,0.3413,0.3379,0.3674,0.3445,0.3609
500000,837,299.2306,0.6762,31.2497,-4.8797,0.2700,96.1832,0.0108,0.0127,-0.0916,0.6059,9.9953,0.3276,0.2688,0.1216,-0.0930,-0.0096,0.0000,0.0000,-0.0133,-0.1563,-0.0635,0.0751,0.3350,0.3335,0.3668,0.3393,0.3628
750000,958,260.1013,0.7975,32.3123,1.7912,0.2700,110.9827,0.0134,0.0161,-0.0940,0.6045,11.0182,0.2878,0.2880,0.1520,-0.1036,-0.0099,0.0000,0.0000,-0.0133,-0.1587,-0.0702,0.1002,0.3270,0.3297,0.3586,0.3283,0.3643
1000000,764,327.7081,0.6047,31.0688,-4.4889,0.2700,91.2572,0.0161,0.0169,-0.0303,0.6141,11.6669,0.2141,0.2759,0.1366,-0.1085,-0.0101,0.0000,0.0000,-0.0126,-0.1552,-0.0509,0.0824,0.3152,0.3213,0.3625,0.3179,0.3656
1250000,658,379.9666,0.4225,28.6418,-4.2017,0.3200,83.0014,0.0173,0.0170,-0.0038,0.6196,11.2217,0.1706,0.2276,0.1218,-0.1175,-0.0103,0.0000,0.0000,-0.0124,-0.1473,-0.0393,0.0630,0.3068,0.3157,0.3594,0.3135,0.3659
1500000,729,342.6091,0.5679,33.0083,-15.4295,0.3200,89.8706,0.0186,0.0180,0.0083,0.6144,11.4938,0.2827,0.2273,0.1400,-0.1303,-0.0107,0.0000,0.0000,-0.0121,-0.1481,-0.0446,0.0748,0.3016,0.3062,0.3612,0.3050,0.3637
1750000,653,383.9770,0.4334,27.6859,-5.6002,0.3200,85.5602,0.0180,0.0180,-0.0106,0.6240,11.8483,0.1260,0.2266,0.1382,-0.1189,-0.0109,0.0000,0.0000,-0.0123,-0.1430,-0.0371,0.0787,0.2908,0.2986,0.3584,0.2920,0.3693
2000000,649,383.8968,0.4345,26.8924,0.8190,0.3200,83.2043,0.0175,0.0191,-0.0564,0.6224,11.6712,0.1437,0.2218,0.1354,-0.1274,-0.0109,0.0000,0.0000,-0.0118,-0.1350,-0.0378,0.0717,0.2834,0.2921,0.3497,0.2840,0.3745
2250000,657,381.1248,0.3942,24.8065,6.2759,0.3200,77.8442,0.0170,0.0207,-0.1078,0.6251,11.7767,0.0287,0.1878,0.1182,-0.1626,-0.0109,0.0000,0.0000,-0.0113,-0.1298,-0.0454,0.0369,0.2793,0.2814,0.3447,0.2799,0.3768
2500000,662,378.1495,0.4094,19.6345,3.7477,0.4700,73.1148,0.0150,0.0193,-0.1338,0.6461,11.0726,0.0877,0.0795,0.0992,-0.1532,-0.0115,0.0000,0.0000,-0.0113,-0.1257,-0.0442,0.0226,0.2685,0.2723,0.3464,0.2721,0.3820
2750000,814,306.6376,0.6720,19.1253,3.3021,0.4700,84.4907,0.0148,0.0179,-0.1080,0.6429,12.9047,-0.0308,0.0772,0.1137,-0.1452,-0.0116,0.0000,0.0000,-0.0109,-0.1162,-0.0670,0.0411,0.2638,0.2582,0.3468,0.2641,0.3884
3000000,1109,225.7764,0.8611,22.8985,2.2832,0.4700,106.9716,0.0179,0.0188,-0.0611,0.6162,15.7743,-0.1699,0.1665,0.1970,-0.1049,-0.0120,0.0000,0.0000,-0.0106,-0.1173,-0.0855,0.1446,0.2590,0.2524,0.3482,0.2609,0.3925
