steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_straight,r_dutybal,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1404,177.0798,0.8568,14.6090,-0.4708,0.1200,83.9169,0.0060,0.0069,-0.0652,0.6637,9.9427,0.1298,0.2967,0.0433,-0.1646,-0.0042,0.0000,0.0000,-0.0132,-0.1662,0.0000,-0.0063,-0.1164,-0.0390,0.3438,0.3417,0.3721,0.3475,0.3683
500000,777,320.5431,0.5869,30.8122,0.0367,0.1200,88.7191,0.0076,0.0096,-0.1311,0.6231,7.9416,0.5631,0.4028,0.0933,-0.0867,-0.0044,0.0000,0.0000,-0.0133,-0.1571,0.0000,-0.0050,-0.0595,0.0500,0.3329,0.3310,0.3772,0.3393,0.3608
750000,646,387.6022,0.3916,30.3214,2.1431,0.1700,81.5028,0.0073,0.0092,-0.1257,0.6131,7.2384,0.6191,0.4233,0.0931,-0.0661,-0.0045,0.0000,0.0000,-0.0129,-0.1529,0.0000,-0.0054,-0.0347,0.0600,0.3227,0.3249,0.3814,0.3300,0.3598
1000000,929,270.4306,0.6426,38.5264,21.3798,0.4700,98.4796,0.0088,0.0117,-0.1476,0.6349,8.6437,0.6370,0.1491,0.1412,-0.0772,-0.0047,0.0000,0.0000,-0.0121,-0.1488,0.0000,-0.0112,-0.0711,0.1026,0.3178,0.3174,0.3790,0.3233,0.3639
1250000,1716,145.3543,0.9767,51.5602,41.2551,0.4700,111.8999,0.0159,0.0189,-0.1108,0.6452,10.8688,0.6561,0.1893,0.2387,-0.0710,-0.0053,0.0000,0.0000,-0.0115,-0.1615,0.0000,-0.0314,-0.1020,0.2032,0.3072,0.3021,0.3806,0.3135,0.3657
1500000,1133,220.8614,0.8791,52.3014,39.8186,0.4700,105.7733,0.0191,0.0227,-0.1160,0.6789,12.4875,0.4764,0.1906,0.2385,-0.0819,-0.0054,0.0000,0.0000,-0.0115,-0.1561,0.0000,-0.0479,-0.0753,0.1976,0.2959,0.2935,0.3814,0.3035,0.3680
1750000,825,302.7818,0.7261,45.3867,29.1406,0.4700,103.9574,0.0218,0.0270,-0.1323,0.6741,12.9573,0.3335,0.1881,0.2319,-0.0962,-0.0055,0.0000,0.0000,-0.0116,-0.1546,0.0000,-0.0426,-0.0479,0.1838,0.2886,0.2898,0.3818,0.2978,0.3711
2000000,974,256.2372,0.8193,37.9383,21.2655,0.4700,108.2116,0.0257,0.0305,-0.1108,0.6205,13.8211,0.2556,0.1798,0.2268,-0.1353,-0.0057,0.0000,0.0000,-0.0115,-0.1613,0.0000,-0.0137,-0.0642,0.1592,0.2828,0.2845,0.3848,0.2954,0.3699
2250000,724,345.6326,0.5732,32.1318,16.8321,0.4700,95.1210,0.0319,0.0355,-0.0772,0.6028,15.3384,0.0776,0.1961,0.2635,-0.1230,-0.0062,0.0000,0.0000,-0.0116,-0.1693,0.0000,-0.0051,-0.0445,0.2020,0.2739,0.2781,0.3890,0.2938,0.3729
2500000,675,369.9600,0.4785,29.5461,11.1476,0.4700,101.8774,0.0269,0.0308,-0.0853,0.6141,16.3568,-0.0043,0.1724,0.2168,-0.1461,-0.0063,0.0000,0.0000,-0.0114,-0.1654,0.0000,-0.0042,-0.0377,0.1438,0.2707,0.2747,0.3876,0.2871,0.3743
2750000,839,298.0989,0.7151,31.1469,14.4401,0.4700,100.8477,0.0290,0.0292,-0.0380,0.5930,15.3979,0.0940,0.1707,0.2131,-0.1504,-0.0064,0.0000,0.0000,-0.0111,-0.1611,0.0000,-0.0050,-0.0610,0.1379,0.2635,0.2663,0.3965,0.2802,0.3719
3000000,839,297.4732,0.6794,29.1588,10.7061,0.4700,100.1327,0.0278,0.0253,0.0177,0.5894,14.3360,0.1299,0.1544,0.1901,-0.1509,-0.0064,0.0000,0.0000,-0.0111,-0.1516,0.0000,-0.0051,-0.0609,0.1146,0.2573,0.2627,0.4052,0.2754,0.3692
