steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1395,177.9197,0.8509,13.7365,1.4012,0.1200,81.1122,0.0058,0.0071,-0.0936,0.6674,10.1797,0.1142,0.3042,0.0451,-0.1593,-0.0042,0.0000,0.0000,-0.0131,-0.1663,-0.1119,-0.0346,0.3427,0.3398,0.3688,0.3434,0.3666
500000,873,286.2119,0.6861,29.5033,8.1881,0.2200,92.4181,0.0084,0.0107,-0.1218,0.6417,9.8062,0.3850,0.3073,0.1146,-0.0912,-0.0044,0.0000,0.0000,-0.0128,-0.1500,-0.0666,0.0690,0.3315,0.3331,0.3708,0.3338,0.3666
750000,795,315.0667,0.6214,29.2422,5.8004,0.2700,91.1847,0.0093,0.0113,-0.1041,0.6504,10.2062,0.3198,0.3106,0.1182,-0.0929,-0.0045,0.0000,0.0000,-0.0125,-0.1479,-0.0591,0.0717,0.3230,0.3270,0.3675,0.3269,0.3684
1000000,973,256.9856,0.7852,31.1470,10.7838,0.3700,105.4424,0.0112,0.0135,-0.1011,0.6540,12.4497,0.2317,0.2117,0.1599,-0.0977,-0.0049,0.0000,0.0000,-0.0121,-0.1476,-0.0699,0.1111,0.3150,0.3227,0.3680,0.3174,0.3694
1250000,870,287.0989,0.7552,28.4299,6.7220,0.3700,100.1116,0.0132,0.0161,-0.1077,0.6590,14.1928,0.0192,0.2176,0.1636,-0.1187,-0.0050,0.0000,0.0000,-0.0118,-0.1487,-0.0609,0.1043,0.3085,0.3131,0.3688,0.3104,0.3724
1500000,992,252.3498,0.8185,31.3301,2.3600,0.3700,124.4205,0.0162,0.0186,-0.0780,0.6332,14.2939,0.0343,0.2628,0.2030,-0.1044,-0.0053,0.0000,0.0000,-0.0118,-0.1545,-0.0699,0.1508,0.3034,0.3070,0.3664,0.3048,0.3756
1750000,871,287.4489,0.7669,32.9952,-1.0240,0.3700,121.9753,0.0195,0.0223,-0.0763,0.6299,14.7127,-0.0567,0.2620,0.2109,-0.1102,-0.0054,0.0000,0.0000,-0.0120,-0.1554,-0.0590,0.1558,0.2980,0.2984,0.3704,0.2998,0.3805
2000000,777,320.4234,0.6564,31.3323,-0.2375,0.3700,116.7839,0.0198,0.0237,-0.0935,0.6294,15.1863,-0.1428,0.2631,0.2114,-0.1201,-0.0055,0.0000,0.0000,-0.0119,-0.1509,-0.0518,0.1513,0.2910,0.2888,0.3676,0.2943,0.3772
2250000,713,350.0701,0.5372,30.8563,4.2854,0.3700,99.6078,0.0184,0.0230,-0.1194,0.6349,14.8565,-0.1756,0.2573,0.1955,-0.1259,-0.0056,0.0000,0.0000,-0.0117,-0.1462,-0.0465,0.1325,0.2846,0.2836,0.3688,0.2889,0.3785
2500000,669,372.2810,0.4529,30.9347,4.0915,0.3700,93.8002,0.0197,0.0252,-0.1320,0.6321,15.5663,-0.2274,0.2952,0.2240,-0.1086,-0.0058,0.0000,0.0000,-0.0113,-0.1440,-0.0393,0.1697,0.2801,0.2776,0.3690,0.2858,0.3778
2750000,640,393.9719,0.4000,31.4113,6.1382,0.4700,94.3330,0.0210,0.0266,-0.1233,0.6273,16.1731,-0.3067,0.2811,0.2281,-0.1120,-0.0060,0.0000,0.0000,-0.0115,-0.1448,-0.0328,0.1721,0.2758,0.2708,0.3700,0.2799,0.3796
3000000,752,331.5186,0.6303,32.1196,-0.7419,0.4700,111.5827,0.0277,0.0291,-0.0462,0.6003,16.6952,-0.2768,0.2713,0.2791,-0.0940,-0.0063,0.0000,0.0000,-0.0117,-0.1544,-0.0495,0.2321,0.2718,0.2635,0.3696,0.2761,0.3788
